"Table 2: E-5 City/County Population and Housing Estimates, 1/1/2016",,,,,,,,,,,,
,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,
 ,,,,,,,,,,, ,
County Total,"21,932","21,672",260,"8,110","5,996",119,735,477,783,"7,283",10.2%,2.98
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Contra Costa County,,,,,,,,,,, ,
Antioch             ,"111,382","110,718",664,"35,822","27,858","1,707","1,471","4,384",402,"33,694",5.9%,3.29
Brentwood           ,"59,063","58,917",146,"19,116","16,755",617,345,"1,045",354,"18,167",5.0%,3.24
Clayton             ,"11,389","11,379",10,"4,111","3,366",538,108,99,0,"4,017",2.3%,2.83
Concord             ,"129,171","127,796","1,375","47,207","27,377","3,201","3,427","11,443","1,759","44,890",4.9%,2.85
Danville            ,"44,318","44,075",243,"16,158","12,240","2,918",157,826,17,"15,605",3.4%,2.82
El Cerrito          ,"24,711","24,618",93,"10,789","7,489",345,"1,389","1,507",59,"10,215",5.3%,2.41
Hercules            ,"25,299","25,244",55,"8,585","5,659","1,357",567,989,13,"8,191",4.6%,3.08
Lafayette           ,"25,486","25,387",99,"9,901","7,686",294,693,"1,220",8,"9,444",4.6%,2.69
Martinez            ,"37,840","36,594","1,246","15,199","9,562","2,175","1,325","2,122",15,"14,532",4.4%,2.52
Moraga              ,"16,748","15,025","1,723","5,765","3,828",871,289,777,0,"5,619",2.5%,2.67
Oakley,"40,127","40,024",103,"12,294","11,176",236,129,377,376,"11,663",5.1%,3.43
Orinda              ,"18,911","18,868",43,"6,999","6,490",174,9,326,0,"6,743",3.7%,2.80
Pinole              ,"19,176","19,108",68,"7,161","5,053",613,497,962,36,"6,780",5.3%,2.82
Pittsburg           ,"69,256","68,965",291,"22,039","15,706","1,300","1,231","3,055",747,"20,524",6.9%,3.36
Pleasant Hill       ,"34,609","34,146",463,"14,329","8,568","1,566","1,002","3,110",83,"13,742",4.1%,2.49
Richmond            ,"109,646","108,044","1,602","39,515","22,086","2,369","6,233","8,664",163,"36,649",7.3%,2.95
San Pablo           ,"31,250","30,809",441,"9,526","4,339",494,"1,548","2,763",382,"9,026",5.2%,3.41
San Ramon           ,"79,899","79,824",75,"27,892","17,313","3,020","1,142","6,380",37,"26,875",3.6%,2.97
Walnut Creek        ,"68,920","67,918","1,002","33,486","12,506","5,035","4,380","11,565",0,"31,412",6.2%,2.16
,,,,,,,,,,, ,
Balance Of County    ,"171,373","170,495",878,"63,889","48,093","2,951","2,661","7,366","2,818","59,418",7.0%,2.87
Incorporated,"957,201","947,459","9,742","345,894","225,057","28,830","25,942","61,614","4,451","327,788",5.2%,2.89
 ,,,,,,,,,,, ,
County Total,"1,128,574","1,117,954","10,620","409,783","273,150","31,781","28,603","68,980","7,269","387,206",5.5%,2.89
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Del Norte County,,,,,,,,,,, ,
Crescent City       ,"6,542","3,888","2,654","1,898",918,92,360,470,58,"1,683",11.3%,2.31
,,,,,,,,,,, ,
Balance Of County    ,"20,491","20,281",210,"9,370","5,929",181,463,327,"2,470","8,262",11.8%,2.46
Incorporated,"6,542","3,888","2,654","1,898",918,92,360,470,58,"1,683",11.3%,2.31
 ,,,,,,,,,,, ,
County Total,"27,033","24,169","2,864","11,268","6,847",273,823,797,"2,528","9,945",11.7%,2.43
,,,,,,,,,,, ,
,,,,,,,,,,, ,
El Dorado County,,,,,,,,,,, ,
Placerville         ,"10,608","9,968",640,"4,597","2,983",193,814,439,168,"4,198",8.7%,2.37
South Lake Tahoe    ,"21,456","21,081",375,"15,154","9,513",404,"2,456","2,218",563,"8,924",41.1%,2.36
,,,,,,,,,,, ,
Balance Of County    ,"152,706","152,044",662,"69,924","61,102",793,"1,601","3,073","3,355","58,408",16.5%,2.60
Incorporated,"32,064","31,049","1,015","19,751","12,496",597,"3,270","2,657",731,"13,122",33.6%,2.37
 ,,,,,,,,,,, ,
County Total,"184,770","183,093","1,677","89,675","73,598","1,390","4,871","5,730","4,086","71,530",20.2%,2.56
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Fresno County,,,,,,,,,,, ,
Clovis              ,"108,273","107,885",388,"38,931","27,875",764,"3,408","5,924",960,"37,105",4.7%,2.91
Coalinga            ,"16,693","12,158","4,535","4,442","2,849",51,426,613,503,"3,951",11.1%,3.08
Firebaugh           ,"7,930","7,917",13,"2,134","1,382",108,348,221,75,"1,977",7.4%,4.01
Fowler              ,"6,082","6,035",47,"1,978","1,445",26,159,225,123,"1,845",6.7%,3.27
Fresno              ,"524,826","515,542","9,284","177,990","109,025","4,648","22,372","37,197","4,748","164,823",7.4%,3.13
Huron               ,"7,019","7,019",0,"1,620",503,120,395,498,104,"1,562",3.6%,4.49
Kerman              ,"14,596","14,589",7,"4,096","2,922",100,437,455,182,"3,900",4.8%,3.74
Kingsburg           ,"11,953","11,871",82,"4,144","3,021",53,409,463,198,"3,935",5.0%,3.02
Mendota             ,"11,631","11,631",0,"2,589","1,508",167,428,430,56,"2,508",3.1%,4.64
Orange Cove         ,"9,515","9,515",0,"2,286","1,433",94,285,474,0,"2,125",7.0%,4.48
Parlier             ,"15,549","15,547",2,"3,675","2,527",61,406,628,53,"3,468",5.6%,4.48
Reedley             ,"25,898","25,615",283,"7,135","5,028",84,726,"1,034",263,"6,886",3.5%,3.72
Sanger              ,"25,969","25,835",134,"7,426","5,654",75,"1,154",443,100,"6,986",5.9%,3.70
San Joaquin         ,"4,140","4,140",0,932,588,38,203,46,57,894,4.1%,4.63
Selma               ,"24,365","24,200",165,"6,998","5,425",139,482,562,390,"6,602",5.7%,3.67
,,,,,,,,,,, ,
Balance Of County    ,"171,132","168,695","2,437","61,203","49,903",936,"1,884","1,412","7,068","52,674",13.9%,3.20
Incorporated,"814,439","799,499","14,940","266,376","171,185","6,528","31,638","49,213","7,812","248,567",6.7%,3.22
 ,,,,,,,,,,, ,
County Total,"985,571","968,194","17,377","327,579","221,088","7,464","33,522","50,625","14,880","301,241",8.0%,3.21
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Glenn County,,,,,,,,,,, ,
Orland              ,"7,752","7,741",11,"2,863","2,066",34,376,309,78,"2,706",5.5%,2.86
Willows             ,"6,230","6,035",195,"2,460","1,681",65,324,367,23,"2,221",9.7%,2.72
,,,,,,,,,,, ,
Balance Of County    ,"14,622","14,524",98,"5,756","4,125",114,126,91,"1,300","5,162",10.3%,2.81
Incorporated,"13,982","13,776",206,"5,323","3,747",99,700,676,101,"4,927",7.4%,2.80
 ,,,,,,,,,,, ,
County Total,"28,604","28,300",304,"11,079","7,872",213,826,767,"1,401","10,089",8.9%,2.81
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Humboldt County,,,,,,,,,,, ,
Arcata              ,"17,952","15,668","2,284","7,917","3,353",507,"1,183","1,985",889,"7,562",4.5%,2.07
Blue Lake           ,"1,271","1,271",0,584,368,11,114,33,58,557,4.6%,2.28
Eureka              ,"27,170","25,312","1,858","11,939","7,575",457,"2,257","1,517",133,"11,291",5.4%,2.24
Ferndale            ,"1,360","1,360",0,719,593,17,85,24,0,614,14.6%,2.22
Fortuna             ,"12,042","11,781",261,"5,095","3,380",162,592,602,359,"4,795",5.9%,2.46
Rio Dell            ,"3,344","3,323",21,"1,456","1,040",70,180,18,148,"1,376",5.5%,2.42
Trinidad            ,359,358,1,251,185,2,32,7,25,184,26.7%,1.95
,,,,,,,,,,, ,
Balance Of County    ,"72,168","71,051","1,117","34,541","25,911",859,"1,764","1,494","4,513","30,585",11.5%,2.32
Incorporated,"63,498","59,073","4,425","27,961","16,494","1,226","4,443","4,186","1,612","26,379",5.7%,2.24
 ,,,,,,,,,,, ,
County Total,"135,666","130,124","5,542","62,502","42,405","2,085","6,207","5,680","6,125","56,964",8.9%,2.28
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Imperial County,,,,,,,,,,, ,
Brawley             ,"26,802","26,628",174,"8,315","5,428",218,736,"1,518",415,"7,666",7.8%,3.47
Calexico            ,"41,102","41,002",100,"10,825","7,357",484,"1,163","1,651",170,"10,088",6.8%,4.06
Calipatria          ,"7,564","3,727","3,837","1,121",859,16,44,141,61,992,11.5%,3.76
El Centro           ,"45,498","44,682",816,"14,603","8,141",427,"1,577","2,927","1,531","13,115",10.2%,3.41
Holtville           ,"6,448","6,448",0,"1,949","1,290",73,177,203,206,"1,827",6.3%,3.53
Imperial            ,"18,142","18,111",31,"5,532","4,152",389,401,520,70,"5,069",8.4%,3.57
Westmorland         ,"2,393","2,393",0,677,464,10,100,83,20,634,6.4%,3.77
,,,,,,,,,,, ,
Balance Of County    ,"38,116","34,331","3,785","14,152","7,720",290,584,372,"5,186","10,353",26.8%,3.32
Incorporated,"147,949","142,991","4,958","43,022","27,691","1,617","4,198","7,043","2,473","39,391",8.4%,3.63
 ,,,,,,,,,,, ,
County Total,"186,065","177,322","8,743","57,174","35,411","1,907","4,782","7,415","7,659","49,744",13.0%,3.56
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Inyo County,,,,,,,,,,, ,
Bishop              ,"3,879","3,771",108,"1,927",767,83,367,340,370,"1,746",9.4%,2.16
,,,,,,,,,,, ,
Balance Of County    ,"14,774","14,456",318,"7,575","4,866",133,229,139,"2,208","6,344",16.3%,2.28
Incorporated,"3,879","3,771",108,"1,927",767,83,367,340,370,"1,746",9.4%,2.16
 ,,,,,,,,,,, ,
County Total,"18,653","18,227",426,"9,502","5,633",216,596,479,"2,578","8,090",14.9%,2.25
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Kern County,,,,,,,,,,, ,
Arvin               ,"20,836","20,487",349,"4,690","3,409",137,421,578,145,"4,474",4.6%,4.58
Bakersfield         ,"376,996","373,311","3,685","127,281","90,383","3,363","14,525","16,257","2,753","118,075",7.2%,3.16
California City     ,"14,133","12,212","1,921","5,221","4,048",97,469,159,448,"4,264",18.3%,2.86
Delano              ,"52,587","43,674","8,913","10,875","7,640",468,"1,245","1,073",449,"10,413",4.2%,4.19
Maricopa            ,"1,163","1,163",0,465,186,3,20,0,256,410,11.8%,2.84
Mcfarland           ,"14,541","12,984","1,557","2,961","2,528",57,208,98,70,"2,877",2.8%,4.51
Ridgecrest          ,"28,646","28,385",261,"12,125","8,049",470,"1,852",814,940,"10,966",9.6%,2.59
Shafter             ,"18,329","17,598",731,"4,751","3,561",153,548,277,212,"4,466",6.0%,3.94
Taft                ,"9,391","6,540","2,851","2,529","1,891",113,196,240,89,"2,267",10.4%,2.89
Tehachapi           ,"12,595","8,927","3,668","3,622","2,409",77,439,251,446,"3,215",11.2%,2.78
Wasco               ,"26,426","21,618","4,808","5,829","4,410",193,468,571,187,"5,479",6.0%,3.95
,,,,,,,,,,, ,
Balance Of County    ,"311,052","307,719","3,333","114,052","80,817","2,219","8,851","5,131","17,034","98,395",13.7%,3.13
Incorporated,"575,643","546,899","28,744","180,349","128,514","5,131","20,391","20,318","5,995","166,906",7.5%,3.28
 ,,,,,,,,,,, ,
County Total,"886,695","854,618","32,077","294,401","209,331","7,350","29,242","25,449","23,029","265,301",9.9%,3.22
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Kings County,,,,,,,,,,, ,
Avenal              ,"12,509","9,134","3,375","2,438","1,521",81,432,297,107,"2,263",7.2%,4.04
Corcoran            ,"22,533","12,839","9,694","4,069","3,015",133,428,298,195,"3,716",8.7%,3.46
Hanford             ,"56,296","55,199","1,097","19,298","14,218",632,"1,707","2,319",422,"18,419",4.6%,3.00
Lemoore             ,"25,717","25,700",17,"9,123","6,434",336,764,"1,282",307,"8,698",4.7%,2.96
,,,,,,,,,,, ,
Balance Of County    ,"32,813","30,984","1,829","10,348","7,710","1,036",483,156,963,"9,599",7.2%,3.23
Incorporated,"117,055","102,872","14,183","34,928","25,188","1,182","3,331","4,196","1,031","33,096",5.2%,3.11
 ,,,,,,,,,,, ,
County Total,"149,868","133,856","16,012","45,276","32,898","2,218","3,814","4,352","1,994","42,695",5.7%,3.14
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Lake County,,,,,,,,,,, ,
Clearlake           ,"15,216","14,756",460,"8,052","4,212",163,410,752,"2,515","5,808",27.9%,2.54
Lakeport            ,"4,814","4,677",137,"2,440","1,485",109,183,240,423,"1,977",19.0%,2.37
,,,,,,,,,,, ,
Balance Of County    ,"44,788","44,225",563,"23,786","17,550",186,549,615,"4,886","18,137",23.7%,2.44
Incorporated,"20,030","19,433",597,"10,492","5,697",272,593,992,"2,938","7,785",25.8%,2.50
 ,,,,,,,,,,, ,
County Total,"64,818","63,658","1,160","34,278","23,247",458,"1,142","1,607","7,824","25,922",24.4%,2.46
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Lassen County,,,,,,,,,,, ,
Susanville          ,"14,791","8,674","6,117","4,248","3,066",223,138,543,278,"3,792",10.7%,2.29
,,,,,,,,,,, ,
Balance Of County    ,"16,073","14,563","1,510","8,494","5,998",73,171,198,"2,054","6,227",26.7%,2.34
Incorporated,"14,791","8,674","6,117","4,248","3,066",223,138,543,278,"3,792",10.7%,2.29
 ,,,,,,,,,,, ,
County Total,"30,864","23,237","7,627","12,742","9,064",296,309,741,"2,332","10,019",21.4%,2.32
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Los Angeles County,,,,,,,,,,, ,
Agoura Hills        ,"20,915","20,827",88,"7,620","5,352","1,019",171,"1,056",22,"7,386",3.1%,2.82
Alhambra            ,"86,401","85,787",614,"31,394","13,765","3,854","3,710","10,035",30,"29,783",5.1%,2.88
Arcadia             ,"57,667","56,805",862,"20,938","12,738","2,124","1,245","4,831",0,"19,651",6.1%,2.89
Artesia             ,"16,933","16,320",613,"4,707","3,370",364,291,646,36,"4,559",3.1%,3.58
Avalon              ,"3,861","3,854",7,"2,291",604,138,859,690,0,"1,496",34.7%,2.58
Azusa               ,"49,691","46,889","2,802","14,171","6,631","1,985","1,409","3,592",554,"13,416",5.3%,3.50
Baldwin Park        ,"76,837","76,431",406,"17,800","12,714","1,238",597,"2,936",315,"17,171",3.5%,4.45
Bell                ,"36,390","35,811",579,"9,213","4,748",827,985,"2,265",388,"8,921",3.2%,4.01
Bellflower          ,"78,307","77,568",739,"24,917","12,348","2,079","1,794","7,382","1,314","23,694",4.9%,3.27
Bell Gardens        ,"43,150","42,726",424,"9,996","4,925","2,480","1,031","1,209",351,"9,706",2.9%,4.40
Beverly Hills       ,"34,773","34,652",121,"16,444","5,734",291,"1,895","8,482",42,"14,856",9.7%,2.33
Bradbury            ,"1,090","1,090",0,410,392,7,0,11,0,360,12.2%,3.03
Burbank             ,"106,390","105,817",573,"44,618","19,813","1,912","4,725","18,033",135,"42,320",5.2%,2.50
Calabasas           ,"24,211","24,202",9,"9,135","6,220",663,492,"1,529",231,"8,779",3.9%,2.76
Carson              ,"93,458","92,047","1,411","26,148","18,302","2,398",688,"2,304","2,456","25,374",3.0%,3.63
Cerritos            ,"49,798","49,694",104,"15,875","13,419","1,410",429,598,19,"15,449",2.7%,3.22
Claremont           ,"36,364","30,918","5,446","12,379","8,200","1,261","1,007","1,888",23,"11,802",4.7%,2.62
Commerce            ,"13,094","13,024",70,"3,473","2,379",331,232,531,0,"3,385",2.5%,3.85
Compton             ,"99,196","98,441",755,"24,588","16,838","2,346","2,125","2,653",626,"23,248",5.4%,4.23
Covina              ,"48,946","48,511",435,"16,641","9,654","1,528",822,"4,091",546,"15,915",4.4%,3.05
Cudahy              ,"24,400","24,392",8,"5,774","2,141","1,313",326,"1,574",420,"5,631",2.5%,4.33
Culver City         ,"39,915","39,604",311,"17,587","6,928","1,589","2,090","6,764",216,"16,882",4.0%,2.35
Diamond Bar         ,"57,386","57,257",129,"18,642","13,429","1,744","1,055","2,046",368,"18,105",2.9%,3.16
Downey              ,"114,190","113,507",683,"35,621","20,426","1,410","1,611","11,806",368,"33,980",4.6%,3.34
Duarte              ,"22,064","21,657",407,"7,337","4,691",937,235,"1,312",162,"7,115",3.0%,3.04
El Monte            ,"116,428","115,348","1,080","29,268","16,340","3,732","1,467","6,229","1,500","27,973",4.4%,4.12
El Segundo          ,"17,099","17,023",76,"7,427","3,176",354,782,"3,100",15,"7,129",4.0%,2.39
Gardena             ,"60,896","60,102",794,"21,721","9,757","1,478","2,569","6,672","1,245","20,864",3.9%,2.88
Glendale            ,"200,716","199,287","1,429","78,256","27,765","3,575","6,906","39,960",50,"74,172",5.2%,2.69
Glendora            ,"51,951","51,186",765,"17,961","13,229","1,412",662,"1,931",727,"17,437",2.9%,2.94
Hawaiian Gardens    ,"14,735","14,719",16,"3,712","1,738",523,366,834,251,"3,608",2.8%,4.08
Hawthorne           ,"88,178","87,639",539,"30,540","8,959","1,310","4,070","16,054",147,"29,210",4.4%,3.00
Hermosa Beach       ,"19,981","19,966",15,"10,084","4,358",794,"2,299","2,416",217,"9,585",4.9%,2.08
Hidden Hills        ,"1,905","1,905",0,631,627,4,0,0,0,597,5.4%,3.19
Huntington Park     ,"59,525","59,270",255,"15,171","6,260","2,033","1,585","5,208",85,"14,654",3.4%,4.05
Industry            ,432,195,237,68,58,0,6,0,4,62,8.8%,3.15
Inglewood           ,"113,033","111,531","1,502","38,650","14,755","2,314","5,509","15,863",209,"36,768",4.9%,3.03
Irwindale           ,"1,412","1,362",50,389,348,10,4,21,6,364,6.4%,3.74
La Canada Flintridge,"20,651","20,624",27,"7,082","6,506",186,96,250,44,"6,847",3.3%,3.01
La Habra Heights    ,"5,481","5,461",20,"1,889","1,824",65,0,0,0,"1,821",3.6%,3.00
Lakewood            ,"81,622","81,513",109,"27,535","22,704","1,038",378,"3,264",151,"26,524",3.7%,3.07
La Mirada           ,"49,714","46,857","2,857","15,135","12,126",762,288,"1,787",172,"14,762",2.5%,3.17
Lancaster           ,"161,552","154,232","7,320","52,733","37,001",832,"3,090","7,880","3,930","47,868",9.2%,3.22
La Puente           ,"40,780","40,737",43,"9,791","6,777",483,403,"2,098",30,"9,487",3.1%,4.29
La Verne            ,"33,127","32,028","1,099","12,073","7,720",931,660,893,"1,869","11,631",3.7%,2.75
Lawndale            ,"33,594","33,419",175,"10,156","5,317","1,422",899,"2,273",245,"9,728",4.2%,3.44
Lomita              ,"20,742","20,575",167,"8,453","4,171",776,466,"2,419",621,"8,097",4.2%,2.54
Long Beach          ,"476,117","467,139","8,978","176,728","74,496","10,123","21,653","68,110","2,346","164,901",6.7%,2.83
Los Angeles         ,"3,981,283","3,888,075","93,208","1,453,271","556,927","87,030","129,067","670,166","10,081","1,353,839",6.8%,2.87
Lynwood             ,"71,453","68,657","2,796","15,279","9,337",968,"1,824","3,015",135,"14,716",3.7%,4.67
Malibu              ,"13,036","12,895",141,"6,908","4,825",548,233,761,541,"5,322",23.0%,2.42
Manhattan Beach     ,"35,900","35,872",28,"14,962","10,355","1,161","2,456",976,14,"14,056",6.1%,2.55
Maywood             ,"28,101","27,982",119,"6,760","3,684",870,909,"1,252",45,"6,594",2.5%,4.24
Monrovia            ,"37,758","37,602",156,"14,575","8,434","1,736","1,101","3,146",158,"13,919",4.5%,2.70
Montebello          ,"64,289","63,889",400,"19,925","9,823","1,564","2,466","5,806",266,"19,167",3.8%,3.33
Monterey Park       ,"61,931","61,701",230,"21,078","12,058","1,993","2,119","4,844",64,"20,106",4.6%,3.07
Norwalk             ,"106,917","105,450","1,467","28,024","20,561","1,255",830,"4,890",488,"26,974",3.7%,3.91
Palmdale            ,"158,042","157,843",199,"47,012","37,004",852,"1,416","5,583","2,157","43,553",7.4%,3.62
Palos Verdes Estates,"13,620","13,603",17,"5,300","4,894",67,30,297,12,"5,032",5.1%,2.70
Paramount           ,"55,522","55,212",310,"14,617","6,624","1,704",893,"4,263","1,133","13,962",4.5%,3.95
Pasadena            ,"142,022","138,529","3,493","60,703","26,416","4,164","5,238","24,755",130,"56,148",7.5%,2.47
Pico Rivera         ,"64,398","63,944",454,"17,125","13,120",655,437,"2,414",499,"16,612",3.0%,3.85
Pomona              ,"153,719","149,740","3,979","40,940","24,823","2,995","3,512","7,632","1,978","38,961",4.8%,3.84
Rancho Palos Verdes ,"42,566","42,226",340,"16,237","12,534","1,024",301,"2,353",25,"15,589",4.0%,2.71
Redondo Beach       ,"68,424","67,993",431,"30,677","12,093","4,291","4,652","9,382",259,"29,147",5.0%,2.33
Rolling Hills       ,"1,903","1,903",0,719,718,0,0,1,0,666,7.4%,2.86
Rolling Hills Estates,"8,275","8,275",0,"3,101","2,324",669,35,37,36,"2,981",3.9%,2.78
Rosemead            ,"55,075","54,662",413,"14,878","11,181","1,449",853,"1,229",166,"14,304",3.9%,3.82
San Dimas           ,"34,724","34,184",540,"12,779","7,342","1,673",312,"2,001","1,451","12,275",3.9%,2.79
San Fernando        ,"24,612","24,498",114,"6,424","4,595",464,475,769,121,"6,088",5.2%,4.02
San Gabriel         ,"40,568","40,116",452,"13,275","7,458","1,425",775,"3,609",8,"12,556",5.4%,3.20
San Marino          ,"13,384","13,303",81,"4,479","4,424",15,0,40,0,"4,320",3.5%,3.08
Santa Clarita       ,"208,550","207,140","1,410","71,756","43,086","8,032","3,079","14,956","2,603","68,383",4.7%,3.03
Santa Fe Springs    ,"18,197","18,004",193,"5,462","3,249",199,275,"1,666",73,"5,225",4.3%,3.45
Santa Monica        ,"93,315","91,169","2,146","52,082","9,720","1,825","5,296","35,037",204,"47,845",8.1%,1.91
Sierra Madre        ,"11,187","11,186",1,"5,118","3,552",325,337,904,0,"4,858",5.1%,2.30
Signal Hill         ,"11,598","11,552",46,"4,531","1,423",618,638,"1,852",0,"4,291",5.3%,2.69
South El Monte      ,"21,073","21,016",57,"4,823","3,538",173,241,421,450,"4,691",2.7%,4.48
South Gate          ,"97,177","97,089",88,"24,478","15,321","1,921","3,224","3,721",291,"23,485",4.1%,4.13
South Pasadena      ,"26,337","26,174",163,"11,153","4,973",662,"1,397","4,121",0,"10,545",5.5%,2.48
Temple City         ,"36,383","35,961",422,"12,196","9,845",890,345,"1,009",107,"11,640",4.6%,3.09
Torrance            ,"148,784","147,638","1,146","58,520","30,693","3,648","3,666","19,378","1,135","56,153",4.0%,2.63
Vernon              ,302,302,0,76,23,0,0,53,0,74,2.6%,4.08
Walnut              ,"30,310","30,276",34,"8,925","8,527",57,35,303,3,"8,688",2.7%,3.49
West Covina         ,"108,773","108,099",674,"32,930","21,273","3,117","1,235","6,960",345,"31,749",3.6%,3.41
