"E-8 City/County/State Population and Housing Estimates, 4/1/1990 to 4/1/2000",,,,,,,,,,,
,,------------POPULATION------------,,,---------------------------------- HOUSING UNITS ----------------------------------,,,,,,PERSONS PER HOUSEHOLD
,4/1/2000,"33,873,086","33,051,896","821,190","12,214,550","7,815,035","3,829,827","569,688","11,502,871",5.83%,2.873
,,,,,,,,,,,
Alameda,4/1/1990,"73,979","68,635","5,344","30,520","15,010","15,491",19,"29,078",4.72%,2.360
Alameda,1/1/1991,"74,577","69,179","5,398","30,815","15,188","15,587",40,"29,451",4.43%,2.349
,1/1/1992,"76,890","71,453","5,437","31,175","15,367","15,740",68,"29,863",4.21%,2.393
,1/1/1993,"77,142","72,194","4,948","31,234","15,505","15,633",96,"29,907",4.25%,2.414
,1/1/1994,"78,515","72,964","5,551","31,270","15,627","15,519",124,"30,116",3.69%,2.423
,1/1/1995,"77,261","72,069","5,192","31,273","15,732","15,389",152,"30,111",3.72%,2.393
,1/1/1996,"77,196","72,019","5,177","31,277","15,856","15,240",181,"30,202",3.44%,2.385
,1/1/1997,"75,277","73,268","2,009","31,368","16,065","15,094",209,"30,408",3.06%,2.409
,1/1/1998,"71,230","70,112","1,118","31,523","16,340","14,946",237,"29,828",5.38%,2.351
,1/1/1999,"71,624","70,550","1,074","31,610","16,541","14,804",265,"29,964",5.21%,2.354
,1/1/2000,"72,398","71,317","1,081","31,622","16,667","14,662",293,"30,183",4.55%,2.363
,4/1/2000,"72,259","71,182","1,077","31,644","16,719","14,625",300,"30,226",4.48%,2.355
,,,,,,,,,,,
Alameda,4/1/1990,"16,327","16,283",44,"7,468","3,957","3,509",2,"7,192",3.70%,2.264
Albany,1/1/1991,"16,273","16,237",36,"7,456","3,956","3,498",2,"7,183",3.66%,2.260
,1/1/1992,"16,382","16,338",44,"7,430","3,956","3,471",3,"7,161",3.62%,2.282
,1/1/1993,"16,742","16,702",40,"7,405","3,952","3,450",3,"7,140",3.58%,2.339
,1/1/1994,"16,679","16,640",39,"7,385","3,951","3,430",4,"7,123",3.55%,2.336
,1/1/1995,"16,343","16,305",38,"7,366","3,954","3,408",4,"7,108",3.50%,2.294
,1/1/1996,"16,211","16,174",37,"7,344","3,955","3,385",4,"7,090",3.46%,2.281
,1/1/1997,"16,307","16,271",36,"7,322","3,956","3,361",5,"7,072",3.41%,2.301
,1/1/1998,"16,468","16,433",35,"7,297","3,954","3,338",5,"7,051",3.37%,2.331
,1/1/1999,"16,440","16,406",34,"7,279","3,959","3,314",6,"7,037",3.32%,2.331
,1/1/2000,"16,422","16,389",33,"7,254","3,958","3,290",6,"7,016",3.28%,2.336
,4/1/2000,"16,444","16,411",33,"7,248","3,958","3,284",6,"7,011",3.27%,2.341
,,,,,,,,,,,
Alameda,4/1/1990,"102,724","91,442","11,282","45,735","20,752","24,969",14,"43,453",4.99%,2.104
Berkeley,1/1/1991,"102,098","91,453","10,645","45,805","20,825","24,963",17,"43,551",4.92%,2.100
,1/1/1992,"102,616","91,599","11,017","45,853","20,875","24,956",22,"43,638",4.83%,2.099
,1/1/1993,"101,980","91,291","10,689","46,004","20,990","24,988",26,"43,824",4.74%,2.083
,1/1/1994,"101,252","91,380","9,872","46,110","21,110","24,969",31,"43,966",4.65%,2.078
,1/1/1995,"100,943","91,741","9,202","46,189","21,221","24,933",35,"44,083",4.56%,2.081
,1/1/1996,"100,148","91,801","8,347","46,293","21,338","24,915",40,"44,224",4.47%,2.076
,1/1/1997,"100,904","93,062","7,842","46,376","21,460","24,872",44,"44,344",4.38%,2.099
,1/1/1998,"101,893","94,697","7,196","46,448","21,582","24,817",49,"44,454",4.29%,2.130
,1/1/1999,"102,268","95,669","6,599","46,729","21,703","24,973",53,"44,764",4.21%,2.137
,1/1/2000,"102,540","96,551","5,989","46,853","21,822","24,973",58,"44,924",4.12%,2.149
,4/1/2000,"102,743","96,921","5,822","46,875","21,854","24,962",59,"44,955",4.10%,2.156
,,,,,,,,,,,
Alameda,4/1/1990,"23,229","19,476","3,753","6,992","5,651","1,338",3,"6,802",2.72%,2.863
Dublin,1/1/1991,"23,099","19,362","3,737","7,104","5,709","1,392",3,"6,890",3.01%,2.810
,1/1/1992,"24,384","20,589","3,795","7,574","5,759","1,813",2,"7,318",3.38%,2.813
,1/1/1993,"24,493","20,652","3,841","7,764","5,809","1,953",2,"7,475",3.72%,2.763
,1/1/1994,"24,501","20,435","4,066","7,826","5,903","1,921",2,"7,509",4.05%,2.721
,1/1/1995,"24,277","20,048","4,229","7,859","5,948","1,882",29,"7,513",4.40%,2.668
,1/1/1996,"23,829","19,698","4,131","7,901","6,030","1,842",29,"7,526",4.75%,2.617
,1/1/1997,"23,928","19,754","4,174","7,977","6,147","1,802",28,"7,572",5.08%,2.609
,1/1/1998,"24,506","20,378","4,128","8,212","6,413","1,771",28,"7,774",5.33%,2.621
,1/1/1999,"25,045","20,594","4,451","8,403","6,499","1,876",28,"7,927",5.66%,2.598
,1/1/2000,"28,540","23,974","4,566","9,637","6,873","2,737",27,"9,104",5.53%,2.633
,4/1/2000,"30,023","24,731","5,292","9,895","7,117","2,751",27,"9,348",5.53%,2.646
,,,,,,,,,,,
Alameda,4/1/1990,"5,740","5,740",0,"3,640",489,"3,147",4,"3,227",11.35%,1.779
Emeryville,1/1/1991,"5,815","5,764",51,"3,635",465,"3,164",6,"3,237",10.95%,1.781
,1/1/1992,"5,917","5,865",52,"3,618",422,"3,186",10,"3,240",10.45%,1.810
,1/1/1993,"6,007","5,954",53,"3,661",381,"3,267",13,"3,297",9.94%,1.806
,1/1/1994,"6,190","6,136",54,"3,762",459,"3,287",16,"3,405",9.49%,1.802
,1/1/1995,"6,157","6,102",55,"3,966",641,"3,305",20,"3,605",9.10%,1.693
,1/1/1996,"6,147","6,091",56,"3,972",599,"3,350",23,"3,628",8.66%,1.679
,1/1/1997,"6,196","6,139",57,"3,958",558,"3,374",26,"3,635",8.16%,1.689
,1/1/1998,"6,632","6,573",59,"4,170",635,"3,505",30,"3,841",7.89%,1.711
,1/1/1999,"6,824","6,758",66,"4,271",593,"3,645",33,"3,949",7.54%,1.711
,1/1/2000,"6,836","6,769",67,"4,258",552,"3,670",36,"3,955",7.12%,1.712
,4/1/2000,"6,882","6,815",67,"4,274",542,"3,695",37,"3,975",7.00%,1.714
,,,,,,,,,,,
Alameda,4/1/1990,"173,339","172,105","1,234","62,400","44,324","17,293",783,"60,198",3.53%,2.859
Fremont,1/1/1991,"173,749","172,446","1,303","62,882","44,758","17,343",781,"60,756",3.38%,2.838
,1/1/1992,"175,976","174,633","1,343","63,257","45,096","17,383",778,"61,241",3.19%,2.852
,1/1/1993,"179,760","178,359","1,401","63,809","45,324","17,709",776,"61,897",3.00%,2.882
,1/1/1994,"180,500","178,986","1,514","63,987","45,515","17,699",773,"62,192",2.81%,2.878
,1/1/1995,"181,819","180,266","1,553","64,377","45,864","17,743",770,"62,692",2.62%,2.875
,1/1/1996,"183,838","182,246","1,592","65,249","46,283","18,199",767,"63,657",2.44%,2.863
,1/1/1997,"187,891","186,259","1,632","65,932","46,698","18,469",765,"64,440",2.26%,2.890
,1/1/1998,"193,557","191,886","1,671","66,885","47,427","18,696",762,"65,482",2.10%,2.930
,1/1/1999,"197,708","195,998","1,710","68,076","47,964","19,353",759,"66,755",1.94%,2.936
,1/1/2000,"202,337","200,588","1,749","69,291","48,612","19,922",757,"68,051",1.79%,2.948
,4/1/2000,"203,413","201,654","1,759","69,452","48,703","19,993",756,"68,237",1.75%,2.955
,,,,,,,,,,,
Alameda,4/1/1990,"111,343","109,986","1,357","42,168","23,564","16,321","2,283","40,071",4.97%,2.745
Hayward,1/1/1991,"116,033","114,636","1,397","43,224","24,051","16,887","2,286","41,163",4.77%,2.785
,1/1/1992,"119,862","118,374","1,488","43,744","24,341","17,115","2,288","41,772",4.51%,2.834
,1/1/1993,"123,002","121,439","1,563","43,894","24,464","17,140","2,290","42,031",4.24%,2.889
,1/1/1994,"124,768","123,089","1,679","44,228","24,762","17,175","2,291","42,467",3.98%,2.898
,1/1/1995,"126,020","124,312","1,708","44,455","24,932","17,231","2,292","42,798",3.73%,2.905
,1/1/1996,"127,306","125,550","1,756","44,670","25,126","17,251","2,293","43,120",3.47%,2.912
,1/1/1997,"130,247","128,424","1,823","44,876","25,320","17,261","2,295","43,431",3.22%,2.957
,1/1/1998,"133,533","131,618","1,915","45,017","25,452","17,269","2,296","43,681",2.97%,3.013
,1/1/1999,"135,687","133,678","2,009","45,265","25,691","17,277","2,297","44,034",2.72%,3.036
,1/1/2000,"139,124","137,005","2,119","45,841","26,074","17,468","2,299","44,698",2.49%,3.065
,4/1/2000,"140,030","137,892","2,138","45,922","26,153","17,470","2,299","44,804",2.43%,3.078
,,,,,,,,,,,
Alameda,4/1/1990,"56,741","56,546",195,"21,489","16,806","4,204",479,"20,643",3.94%,2.739
Livermore,1/1/1991,"57,678","57,481",197,"22,207","17,212","4,513",482,"21,375",3.75%,2.689
,1/1/1992,"59,027","58,821",206,"22,440","17,469","4,495",476,"21,654",3.50%,2.716
,1/1/1993,"60,811","60,596",215,"22,864","17,860","4,533",471,"22,118",3.26%,2.740
,1/1/1994,"61,680","61,456",224,"23,215","18,257","4,493",465,"22,511",3.03%,2.730
,1/1/1995,"63,058","62,825",233,"23,615","18,653","4,502",460,"22,952",2.81%,2.737
,1/1/1996,"64,370","64,128",242,"24,183","19,201","4,528",454,"23,553",2.61%,2.723
,1/1/1997,"66,697","66,409",288,"24,774","19,795","4,530",449,"24,177",2.41%,2.747
,1/1/1998,"69,538","69,241",297,"25,454","20,523","4,488",443,"24,886",2.23%,2.782
,1/1/1999,"72,112","71,806",306,"26,314","21,277","4,599",438,"25,768",2.07%,2.787
,1/1/2000,"72,922","72,607",315,"26,492","21,443","4,617",432,"25,995",1.88%,2.793
,4/1/2000,"73,464","73,147",317,"26,613","21,505","4,677",431,"26,126",1.83%,2.800
,,,,,,,,,,,
Alameda,4/1/1990,"37,861","37,803",58,"12,284","9,867","2,402",15,"12,015",2.19%,3.146
Newark,1/1/1991,"37,715","37,655",60,"12,354","9,907","2,429",18,"12,093",2.11%,3.114
,1/1/1992,"38,220","38,157",63,"12,398","9,923","2,452",23,"12,149",2.01%,3.141
,1/1/1993,"38,413","38,346",67,"12,458","9,957","2,474",27,"12,221",1.90%,3.138
,1/1/1994,"38,787","38,717",70,"12,525","9,997","2,496",32,"12,299",1.80%,3.148
,1/1/1995,"39,213","39,140",73,"12,635","10,088","2,511",36,"12,420",1.70%,3.151
,1/1/1996,"39,348","39,272",76,"12,701","10,135","2,526",40,"12,498",1.60%,3.142
,1/1/1997,"39,838","39,759",79,"12,704","10,118","2,541",45,"12,514",1.50%,3.177
,1/1/1998,"40,471","40,389",82,"12,702","10,097","2,556",49,"12,525",1.39%,3.225
,1/1/1999,"41,889","41,804",85,"13,089","10,146","2,889",54,"12,916",1.32%,3.237
,1/1/2000,"42,250","42,162",88,"13,123","10,161","2,904",58,"12,962",1.23%,3.253
,4/1/2000,"42,471","42,382",89,"13,150","10,183","2,908",59,"12,992",1.20%,3.262
,,,,,,,,,,,
Alameda,4/1/1990,"372,242","364,371","7,871","154,737","74,864","79,673",200,"144,521",6.60%,2.521
Oakland,1/1/1991,"375,382","367,854","7,528","155,436","75,289","79,927",220,"145,463",6.42%,2.529
,1/1/1992,"376,131","368,493","7,638","153,107","73,440","79,421",246,"143,666",6.17%,2.565
,1/1/1993,"377,678","370,088","7,590","153,589","73,928","79,390",271,"144,502",5.92%,2.561
,1/1/1994,"378,644","371,118","7,526","154,250","74,422","79,531",297,"145,503",5.67%,2.551
,1/1/1995,"378,748","371,288","7,460","154,615","74,862","79,431",322,"146,207",5.44%,2.539
,1/1/1996,"380,014","372,592","7,422","155,462","75,515","79,599",348,"147,382",5.20%,2.528
,1/1/1997,"384,623","377,505","7,118","155,834","76,126","79,335",373,"147,985",5.04%,2.551
,1/1/1998,"391,893","384,547","7,346","156,291","76,660","79,232",399,"148,795",4.80%,2.584
,1/1/1999,"394,882","387,578","7,304","156,934","77,260","79,250",424,"149,775",4.56%,2.588
,1/1/2000,"398,247","390,981","7,266","157,401","77,898","79,053",450,"150,594",4.32%,2.596
,4/1/2000,"399,566","392,309","7,257","157,508","78,070","78,982",456,"150,790",4.27%,2.602
,,,,,,,,,,,
Alameda,4/1/1990,"10,602","10,602",0,"3,848","3,752",95,1,"3,755",2.42%,2.823
Piedmont,1/1/1991,"10,589","10,589",0,"3,850","3,755",93,2,"3,760",2.34%,2.816
,1/1/1992,"10,676","10,676",0,"3,852","3,760",90,2,"3,765",2.26%,2.836
,1/1/1993,"10,734","10,733",1,"3,855","3,764",88,3,"3,773",2.13%,2.845
,1/1/1994,"10,701","10,700",1,"3,855","3,766",85,4,"3,777",2.02%,2.833
,1/1/1995,"10,767","10,766",1,"3,859","3,773",82,4,"3,784",1.94%,2.845
,1/1/1996,"10,708","10,707",1,"3,861","3,776",80,5,"3,790",1.84%,2.825
,1/1/1997,"10,791","10,790",1,"3,860","3,777",77,6,"3,793",1.74%,2.845
,1/1/1998,"10,922","10,920",2,"3,861","3,780",75,6,"3,797",1.66%,2.876
,1/1/1999,"10,918","10,916",2,"3,860","3,781",72,7,"3,800",1.55%,2.873
,1/1/2000,"10,931","10,929",2,"3,859","3,782",69,8,"3,803",1.45%,2.874
,4/1/2000,"10,952","10,950",2,"3,859","3,782",69,8,"3,804",1.43%,2.879
,,,,,,,,,,,
Alameda,4/1/1990,"50,570","50,390",180,"19,361","14,520","4,419",422,"18,489",4.50%,2.725
Pleasanton,1/1/1991,"51,226","51,053",173,"19,891","14,741","4,725",425,"19,027",4.34%,2.683
,1/1/1992,"51,977","51,797",180,"20,145","14,977","4,740",428,"19,311",4.14%,2.682
,1/1/1993,"53,048","52,862",186,"20,431","15,178","4,822",431,"19,628",3.93%,2.693
,1/1/1994,"53,871","53,678",193,"20,850","15,566","4,849",435,"20,071",3.74%,2.674
,1/1/1995,"55,158","54,958",200,"21,287","15,964","4,885",438,"20,530",3.56%,2.677
,1/1/1996,"56,013","55,806",207,"21,727","16,338","4,947",442,"20,991",3.39%,2.659
,1/1/1997,"57,855","57,642",213,"22,238","16,824","4,969",445,"21,521",3.22%,2.678
,1/1/1998,"60,315","60,095",220,"22,873","17,402","5,023",448,"22,170",3.07%,2.711
,1/1/1999,"61,678","61,451",227,"23,358","17,869","5,037",452,"22,675",2.92%,2.710
,1/1/2000,"63,317","63,084",233,"23,898","18,267","5,176",455,"23,234",2.78%,2.715
,4/1/2000,"63,654","63,419",235,"23,968","18,332","5,180",456,"23,311",2.74%,2.721
,,,,,,,,,,,
Alameda,4/1/1990,"68,223","67,902",321,"30,189","19,572","9,750",867,"29,128",3.51%,2.331
San Leandro,1/1/1991,"68,467","68,105",362,"30,193","19,594","9,729",870,"29,162",3.41%,2.335
,1/1/1992,"69,690","69,278",412,"30,225","19,627","9,725",873,"29,234",3.28%,2.370
,1/1/1993,"71,182","70,720",462,"30,230","19,657","9,696",877,"29,281",3.14%,2.415
,1/1/1994,"71,683","71,170",513,"30,275","19,714","9,680",881,"29,366",3.00%,2.424
,1/1/1995,"72,238","71,675",563,"30,313","19,780","9,648",885,"29,443",2.87%,2.434
,1/1/1996,"72,579","71,966",613,"30,363","19,859","9,616",888,"29,531",2.74%,2.437
,1/1/1997,"74,015","73,351",664,"30,454","19,963","9,599",892,"29,660",2.61%,2.473
,1/1/1998,"75,855","75,141",714,"30,597","20,134","9,567",896,"29,839",2.48%,2.518
,1/1/1999,"77,085","76,321",764,"30,837","20,403","9,535",899,"30,112",2.35%,2.535
,1/1/2000,"78,983","78,169",814,"31,281","20,875","9,503",903,"30,581",2.24%,2.556
,4/1/2000,"79,452","78,625",827,"31,334","20,935","9,495",904,"30,642",2.21%,2.566
,,,,,,,,,,,
Alameda,4/1/1990,"53,762","53,302",460,"16,259","11,736","3,590",933,"15,701",3.43%,3.395
Union City,1/1/1991,"54,389","53,964",425,"16,349","11,830","3,587",932,"15,819",3.24%,3.411
,1/1/1992,"55,200","54,784",416,"16,446","11,947","3,569",930,"15,954",2.99%,3.434
,1/1/1993,"55,932","55,525",407,"16,512","12,035","3,548",929,"16,059",2.74%,3.458
,1/1/1994,"56,653","56,255",398,"16,745","12,291","3,527",927,"16,326",2.50%,3.446
,1/1/1995,"57,150","56,761",389,"16,913","12,481","3,506",926,"16,529",2.27%,3.434
,1/1/1996,"57,626","57,246",380,"17,053","12,644","3,484",925,"16,706",2.03%,3.427
,1/1/1997,"59,005","58,634",371,"17,224","12,839","3,462",923,"16,912",1.81%,3.467
,1/1/1998,"61,633","61,271",362,"17,684","13,277","3,485",922,"17,397",1.62%,3.522
,1/1/1999,"64,409","64,056",353,"18,381","13,844","3,612",925,"18,112",1.46%,3.537
,1/1/2000,"66,412","66,068",344,"18,814","14,254","3,637",923,"18,570",1.30%,3.558
,4/1/2000,"66,869","66,527",342,"18,877","14,323","3,631",923,"18,642",1.24%,3.569
,,,,,,,,,,,
Alameda,4/1/1990,"1,156,682","1,124,583","32,099","457,090","264,864","186,201","6,025","434,273",4.99%,2.590
Incorporated,1/1/1991,"1,167,090","1,135,778","31,312","461,201","267,280","187,837","6,084","438,930",4.83%,2.588
,1/1/1992,"1,182,948","1,150,857","32,091","461,264","266,959","188,156","6,149","439,966",4.62%,2.616
,1/1/1993,"1,196,924","1,165,461","31,463","463,710","268,804","188,691","6,215","443,153",4.43%,2.630
,1/1/1994,"1,204,424","1,172,724","31,700","466,283","271,340","188,661","6,282","446,631",4.21%,2.626
,1/1/1995,"1,209,152","1,178,256","30,896","468,722","273,893","188,456","6,373","449,775",4.04%,2.620
,1/1/1996,"1,215,333","1,185,296","30,037","472,056","276,655","188,962","6,439","453,898",3.85%,2.611
,1/1/1997,"1,233,574","1,207,267","26,307","474,897","279,646","188,746","6,505","457,464",3.67%,2.639
,1/1/1998,"1,258,446","1,233,301","25,145","479,014","283,676","188,768","6,570","461,520",3.65%,2.672
,1/1/1999,"1,278,569","1,253,585","24,984","484,406","287,530","190,236","6,640","467,588",3.47%,2.681
,1/1/2000,"1,301,259","1,276,593","24,666","489,624","291,238","191,681","6,705","473,670",3.26%,2.695
,4/1/2000,"1,308,222","1,282,965","25,257","490,619","292,176","191,722","6,721","474,863",3.21%,2.702
,,,,,,,,,,,
Alameda,4/1/1990,"120,020","117,485","2,535","47,019","34,775","11,365",879,"45,245",3.77%,2.597
Balance of County,1/1/1991,"117,692","115,286","2,406","46,509","34,525","11,107",877,"44,815",3.64%,2.572
,1/1/1992,"119,761","117,312","2,449","46,672","34,610","11,183",879,"45,053",3.47%,2.604
,1/1/1993,"121,203","118,753","2,450","46,878","34,783","11,211",884,"45,332",3.30%,2.620
,1/1/1994,"123,102","120,612","2,490","47,354","34,940","11,523",891,"45,872",3.13%,2.629
,1/1/1995,"123,879","121,363","2,516","47,532","35,140","11,495",897,"46,122",2.97%,2.631
,1/1/1996,"125,176","121,875","3,301","47,713","35,379","11,434",900,"46,378",2.80%,2.628
,1/1/1997,"127,756","124,484","3,272","48,051","35,724","11,421",906,"46,784",2.64%,2.661
,1/1/1998,"130,554","127,961","2,593","48,525","36,108","11,507",910,"47,321",2.48%,2.704
,1/1/1999,"133,746","130,391","3,355","49,155","36,738","11,504",913,"48,009",2.33%,2.716
,1/1/2000,"135,877","132,476","3,401","49,538","37,161","11,451",926,"48,458",2.18%,2.734
,4/1/2000,"135,717","133,041","2,676","49,564","37,190","11,445",929,"48,503",2.14%,2.743
,,,,,,,,,,,
Alameda,4/1/1990,"1,276,702","1,242,068","34,634","504,109","299,639","197,566","6,904","479,518",4.88%,2.590
County Total,1/1/1991,"1,284,782","1,251,064","33,718","507,710","301,805","198,944","6,961","483,745",4.72%,2.586
,1/1/1992,"1,302,709","1,268,169","34,540","507,936","301,569","199,339","7,028","485,019",4.51%,2.615
,1/1/1993,"1,318,127","1,284,214","33,913","510,588","303,587","199,902","7,099","488,485",4.33%,2.629
,1/1/1994,"1,327,526","1,293,336","34,190","513,637","306,280","200,184","7,173","492,503",4.11%,2.626
,1/1/1995,"1,333,031","1,299,619","33,412","516,254","309,033","199,951","7,270","495,897",3.94%,2.621
,1/1/1996,"1,340,509","1,307,171","33,338","519,769","312,034","200,396","7,339","500,276",3.75%,2.613
,1/1/1997,"1,361,330","1,331,751","29,579","522,948","315,370","200,167","7,411","504,248",3.58%,2.641
,1/1/1998,"1,389,000","1,361,262","27,738","527,539","319,784","200,275","7,480","508,841",3.54%,2.675
,1/1/1999,"1,412,315","1,383,976","28,339","533,561","324,268","201,740","7,553","515,597",3.37%,2.684
,1/1/2000,"1,437,136","1,409,069","28,067","539,162","328,399","203,132","7,631","522,128",3.16%,2.699
,4/1/2000,"1,443,939","1,416,006","27,933","540,183","329,366","203,167","7,650","523,366",3.11%,2.706
,,,,,,,,,,,
Alpine,4/1/1990,"1,113","1,112",1,"1,319",878,387,54,450,65.88%,2.471
County Total,1/1/1991,"1,107","1,106",1,"1,328",881,393,54,450,66.11%,2.458
,1/1/1992,"1,126","1,125",1,"1,344",884,403,57,453,66.29%,2.483
,1/1/1993,"1,131","1,130",1,"1,353",883,412,58,452,66.59%,2.500
,1/1/1994,"1,125","1,124",1,"1,356",888,410,58,450,66.81%,2.498
,1/1/1995,"1,145","1,144",1,"1,367",889,419,59,450,67.08%,2.542
,1/1/1996,"1,192","1,191",1,"1,376",888,429,59,449,67.37%,2.653
,1/1/1997,"1,225","1,224",1,"1,415",897,458,60,459,67.56%,2.667
,1/1/1998,"1,215","1,214",1,"1,412",884,467,61,455,67.78%,2.668
,1/1/1999,"1,182","1,181",1,"1,444",888,495,61,463,67.94%,2.551
,1/1/2000,"1,196","1,195",1,"1,506",883,561,62,481,68.06%,2.484
,4/1/2000,"1,208","1,207",1,"1,514",887,565,62,483,68.10%,2.499
,,,,,,,,,,,
Amador,4/1/1990,196,196,0,87,74,11,2,79,9.20%,2.481
Amador,1/1/1991,202,202,0,88,75,11,2,80,9.09%,2.525
,1/1/1992,201,201,0,87,75,10,2,80,8.05%,2.513
,1/1/1993,198,198,0,87,77,9,1,79,9.20%,2.506
,1/1/1994,199,199,0,88,79,8,1,80,9.09%,2.488
,1/1/1995,197,197,0,88,79,8,1,81,7.95%,2.432
,1/1/1996,193,193,0,88,80,7,1,81,7.95%,2.383
,1/1/1997,194,194,0,88,80,7,1,82,6.82%,2.366
,1/1/1998,193,193,0,88,83,5,0,81,7.95%,2.383
,1/1/1999,190,190,0,88,83,5,0,82,6.82%,2.317
,1/1/2000,195,195,0,90,86,4,0,84,6.67%,2.321
,4/1/2000,196,196,0,91,86,5,0,85,6.59%,2.306
,,,,,,,,,,,
Amador,4/1/1990,"6,516","2,271","4,245",910,716,136,58,856,5.93%,2.653
Ione,1/1/1991,"7,127","2,387","4,740",952,741,154,57,895,5.99%,2.667
,1/1/1992,"7,102","2,598","4,504","1,028",769,171,88,967,5.93%,2.687
