"Table 2: E-5 City/County Population and Housing Estimates, 1/1/2020",,,,,,,,,,,,,,,,,
,,               POPULATION             ,,,                                    HOUSING UNITS ,,,,,,,,,,,,
Calaveras ,Incorporated,"4,040","3,993",47,"2,012","1,462",71,129,120,230,"1,713",14.9%,2.33,,,,
Calaveras ,County Total,"45,023","44,519",504,"28,270","24,562",366,676,392,"2,274","18,447",34.7%,2.41,,,,
Colusa ,Colusa              ,"6,188","6,103",85,"2,390","1,710",79,321,160,120,"2,303",3.6%,2.65,,,,
Colusa ,Williams            ,"5,434","5,325",109,"1,652","1,197",14,138,242,61,"1,516",8.2%,3.51,,,,
Colusa ,Balance Of County    ,"10,408","10,347",61,"4,185","3,163",22,276,107,617,"3,726",11.0%,2.78,,,,
Colusa ,Incorporated,"11,622","11,428",194,"4,042","2,907",93,459,402,181,"3,819",5.5%,2.99,,,,
Colusa ,County Total,"22,030","21,775",255,"8,227","6,070",115,735,509,798,"7,545",8.3%,2.89,,,,
Contra Costa ,Antioch             ,"112,236","111,572",664,"36,149","28,100","1,707","1,471","4,469",402,"34,131",5.6%,3.27,,,,
Contra Costa ,Brentwood           ,"65,263","65,117",146,"20,954","18,513",662,380,"1,045",354,"20,184",3.7%,3.23,,,,
Contra Costa ,Clayton             ,"11,290","11,280",10,"4,120","3,373",540,108,99,0,"4,005",2.8%,2.82,,,,
Contra Costa ,Concord             ,"129,453","128,053","1,400","47,373","27,427","3,210","3,450","11,527","1,759","45,214",4.6%,2.83,,,,
Contra Costa ,Danville            ,"43,840","43,597",243,"16,254","12,303","2,933",161,826,31,"15,518",4.5%,2.81,,,,
Contra Costa ,El Cerrito          ,"24,835","24,742",93,"11,012","7,499",358,"1,403","1,693",59,"10,321",6.3%,2.40,,,,
Contra Costa ,Hercules            ,"25,494","25,439",55,"8,875","5,802","1,357",567,"1,136",13,"8,296",6.5%,3.07,,,,
Contra Costa ,Lafayette           ,"25,321","25,222",99,"10,032","7,712",304,687,"1,321",8,"9,430",6.0%,2.68,,,,
Contra Costa ,Martinez            ,"36,946","35,888","1,058","15,256","9,572","2,221","1,326","2,122",15,"14,325",6.1%,2.51,,,,
Contra Costa ,Moraga              ,"16,756","15,033","1,723","5,828","3,891",871,289,777,0,"5,651",3.0%,2.66,,,,
Contra Costa ,Oakley,"42,268","42,165",103,"13,146","11,953",236,129,452,376,"12,351",6.0%,3.41,,,,
Contra Costa ,Orinda              ,"18,984","18,941",43,"7,145","6,629",179,11,326,0,"6,803",4.8%,2.78,,,,
Contra Costa ,Pinole              ,"19,390","19,322",68,"7,163","5,054",614,497,962,36,"6,891",3.8%,2.80,,,,
Contra Costa ,Pittsburg           ,"74,501","74,210",291,"23,506","16,547","1,313","1,244","3,655",747,"22,198",5.6%,3.34,,,,
Contra Costa ,Pleasant Hill       ,"34,127","33,664",463,"14,373","8,612","1,566","1,002","3,110",83,"13,617",5.3%,2.47,,,,
Contra Costa ,Richmond            ,"110,288","108,772","1,516","40,015","22,198","2,370","6,353","8,931",163,"37,087",7.3%,2.93,,,,
Contra Costa ,San Pablo           ,"31,078","30,637",441,"9,542","4,347",497,"1,552","2,763",383,"9,024",5.4%,3.40,,,,
Contra Costa ,San Ramon           ,"83,376","83,301",75,"29,273","18,337","3,078","1,146","6,675",37,"28,190",3.7%,2.96,,,,
Contra Costa ,Walnut Creek        ,"70,592","69,590","1,002","33,969","12,567","5,042","4,414","11,946",0,"32,351",4.8%,2.15,,,,
Contra Costa ,Balance Of County    ,"173,815","172,957",858,"64,430","48,486","3,013","2,707","7,408","2,816","60,586",6.0%,2.86,,,,
Contra Costa ,Incorporated,"976,038","966,545","9,493","353,985","230,436","29,058","26,190","63,835","4,466","335,587",5.2%,2.88,,,,
Contra Costa ,County Total,"1,149,853","1,139,502","10,351","418,415","278,922","32,071","28,897","71,243","7,282","396,173",5.3%,2.88,,,,
Del Norte ,Crescent City       ,"6,665","3,839","2,826","1,903",920,93,362,470,58,"1,671",12.2%,2.30,,,,
Del Norte ,Balance Of County    ,"20,566","20,362",204,"9,490","6,015",177,467,327,"2,504","8,340",12.1%,2.44,,,,
Del Norte ,Incorporated,"6,665","3,839","2,826","1,903",920,93,362,470,58,"1,671",12.2%,2.30,,,,
Del Norte ,County Total,"27,231","24,201","3,030","11,393","6,935",270,829,797,"2,562","10,011",12.1%,2.42,,,,
El Dorado ,Placerville         ,"10,964","10,337",627,"4,732","3,110",196,816,439,171,"4,415",6.7%,2.34,,,,
El Dorado ,South Lake Tahoe    ,"23,210","22,810",400,"15,823","9,542",404,"2,454","2,860",563,"9,793",38.1%,2.33,,,,
El Dorado ,Balance Of County    ,"159,345","158,702",643,"71,953","63,073",793,"1,606","3,073","3,408","61,827",14.1%,2.57,,,,
El Dorado ,Incorporated,"34,174","33,147","1,027","20,555","12,652",600,"3,270","3,299",734,"14,208",30.9%,2.33,,,,
El Dorado ,County Total,"193,519","191,849","1,670","92,508","75,725","1,393","4,876","6,372","4,142","76,035",17.8%,2.52,,,,
Fresno ,Clovis              ,"118,741","118,353",388,"42,576","31,227",764,"3,424","6,201",960,"40,911",3.9%,2.89,,,,
Fresno ,Coalinga            ,"17,177","12,447","4,730","4,604","2,971",51,426,653,503,"4,063",11.8%,3.06,,,,
Fresno ,Firebaugh           ,"8,035","8,022",13,"2,140","1,380",108,356,221,75,"2,014",5.9%,3.98,,,,
Fresno ,Fowler              ,"6,436","6,389",47,"2,140","1,541",45,140,291,123,"1,966",8.1%,3.25,,,,
Fresno ,Fresno              ,"543,451","533,701","9,750","181,978","112,361","4,649","22,442","37,769","4,757","171,492",5.8%,3.11,,,,
Fresno ,Huron               ,"7,297","7,297",0,"1,671",500,118,395,554,104,"1,632",2.3%,4.47,,,,
Fresno ,Kerman              ,"15,922","15,915",7,"4,362","3,187",101,437,455,182,"4,277",1.9%,3.72,,,,
Fresno ,Kingsburg           ,"12,879","12,797",82,"4,398","3,219",54,417,510,198,"4,262",3.1%,3.00,,,,
Fresno ,Mendota             ,"12,424","12,424",0,"2,801","1,716",167,431,430,57,"2,695",3.8%,4.61,,,,
Fresno ,Orange Cove         ,"9,562","9,562",0,"2,314","1,458",94,288,474,0,"2,146",7.3%,4.46,,,,
Fresno ,Parlier             ,"15,797","15,795",2,"3,786","2,614",61,406,652,53,"3,539",6.5%,4.46,,,,
Fresno ,Reedley             ,"25,974","25,715",259,"7,234","5,049",84,726,"1,112",263,"6,949",3.9%,3.70,,,,
Fresno ,Sanger              ,"27,157","27,023",134,"7,764","5,962",75,"1,157",469,101,"7,345",5.4%,3.68,,,,
Fresno ,San Joaquin         ,"4,137","4,137",0,932,588,38,203,46,57,900,3.4%,4.60,,,,
Fresno ,Selma               ,"24,405","24,240",165,"7,066","5,463",144,484,585,390,"6,647",5.9%,3.65,,,,
Fresno ,Balance Of County    ,"170,898","168,820","2,078","61,362","49,965","1,015","1,888","1,411","7,083","52,980",13.7%,3.19,,,,
Fresno ,Incorporated,"849,394","833,817","15,577","275,766","179,236","6,553","31,732","50,422","7,823","260,838",5.4%,3.20,,,,
Fresno ,County Total,"1,020,292","1,002,637","17,655","337,128","229,201","7,568","33,620","51,833","14,906","313,818",6.9%,3.19,,,,
Glenn ,Orland              ,"8,374","8,363",11,"3,071","2,161",34,379,309,188,"2,926",4.7%,2.86,,,,
Glenn ,Willows             ,"6,243","6,036",207,"2,458","1,682",65,320,367,24,"2,222",9.6%,2.72,,,,
Glenn ,Balance Of County    ,"14,965","14,879",86,"5,805","4,153",114,128,91,"1,319","5,295",8.8%,2.81,,,,
Glenn ,Incorporated,"14,617","14,399",218,"5,529","3,843",99,699,676,212,"5,148",6.9%,2.80,,,,
Glenn ,County Total,"29,582","29,278",304,"11,334","7,996",213,827,767,"1,531","10,443",7.9%,2.80,,,,
Humboldt ,Arcata              ,"17,891","15,857","2,034","8,163","3,402",535,"1,205","2,131",890,"7,800",4.4%,2.03,,,,
Humboldt ,Blue Lake           ,"1,271","1,271",0,585,369,11,114,33,58,566,3.2%,2.25,,,,
Humboldt ,Eureka              ,"26,582","24,683","1,899","11,975","7,593",463,"2,269","1,517",133,"11,223",6.3%,2.20,,,,
Humboldt ,Ferndale            ,"1,376","1,376",0,730,604,17,85,24,0,633,13.3%,2.17,,,,
Humboldt ,Fortuna             ,"12,006","11,745",261,"5,207","3,449",170,618,608,362,"4,873",6.4%,2.41,,,,
Humboldt ,Rio Dell            ,"3,270","3,249",21,"1,465","1,046",72,180,18,149,"1,370",6.5%,2.37,,,,
Humboldt ,Trinidad            ,345,344,1,252,186,2,32,7,25,182,27.8%,1.89,,,,
Humboldt ,Balance Of County    ,"70,083","69,017","1,066","34,953","26,190",895,"1,795","1,548","4,525","30,284",13.4%,2.28,,,,
Humboldt ,Incorporated,"62,741","58,525","4,216","28,377","16,649","1,270","4,503","4,338","1,617","26,647",6.1%,2.20,,,,
Humboldt ,County Total,"132,824","127,542","5,282","63,330","42,839","2,165","6,298","5,886","6,142","56,931",10.1%,2.24,,,,
Imperial ,Brawley             ,"27,494","27,320",174,"8,538","5,583",218,739,"1,628",370,"7,864",7.9%,3.47,,,,
Imperial ,Calexico            ,"40,814","40,714",100,"10,898","7,362",508,"1,196","1,661",171,"10,019",8.1%,4.06,,,,
Imperial ,Calipatria          ,"6,835","3,646","3,189","1,122",860,16,44,141,61,970,13.5%,3.76,,,,
Imperial ,El Centro           ,"45,509","44,693",816,"14,746","8,184",428,"1,584","3,019","1,531","13,118",11.0%,3.41,,,,
Imperial ,Holtville           ,"6,345","6,345",0,"1,982","1,310",86,177,203,206,"1,797",9.3%,3.53,,,,
Imperial ,Imperial            ,"19,915","19,884",31,"6,196","4,697",389,401,639,70,"5,563",10.2%,3.57,,,,
Imperial ,Westmorland         ,"2,338","2,338",0,677,464,10,100,83,20,620,8.4%,3.77,,,,
Imperial ,Balance Of County    ,"39,172","35,083","4,089","14,152","7,707",290,586,372,"5,197","10,599",25.1%,3.31,,,,
Imperial ,Incorporated,"149,250","144,940","4,310","44,159","28,460","1,655","4,241","7,374","2,429","39,951",9.5%,3.63,,,,
Imperial ,County Total,"188,422","180,023","8,399","58,311","36,167","1,945","4,827","7,746","7,626","50,550",13.3%,3.56,,,,
Inyo ,Bishop              ,"3,910","3,802",108,"1,938",767,84,377,340,370,"1,767",8.8%,2.15,,,,
Inyo ,Balance Of County    ,"14,674","14,379",295,"7,610","4,879",137,229,139,"2,226","6,333",16.8%,2.27,,,,
Inyo ,Incorporated,"3,910","3,802",108,"1,938",767,84,377,340,370,"1,767",8.8%,2.15,,,,
Inyo ,County Total,"18,584","18,181",403,"9,548","5,646",221,606,479,"2,596","8,100",15.2%,2.24,,,,
Kern ,Arvin               ,"21,947","21,598",349,"4,968","3,652",172,421,578,145,"4,708",5.2%,4.59,,,,
Kern ,Bakersfield         ,"394,328","390,674","3,654","131,363","94,257","3,361","14,677","16,289","2,779","123,382",6.1%,3.17,,,,
Kern ,California City     ,"14,233","12,054","2,179","5,219","4,050",97,471,159,442,"4,201",19.5%,2.87,,,,
Kern ,Delano              ,"53,110","44,278","8,832","11,051","7,816",468,"1,245","1,073",449,"10,540",4.6%,4.20,,,,
Kern ,Maricopa            ,"1,143","1,143",0,462,186,3,20,0,253,402,13.0%,2.84,,,,
Kern ,Mcfarland           ,"14,296","13,453",843,"3,076","2,643",57,208,98,70,"2,977",3.2%,4.52,,,,
Kern ,Ridgecrest          ,"29,422","29,197",225,"12,341","8,252",470,"1,855",814,950,"11,264",8.7%,2.59,,,,
Kern ,Shafter             ,"20,328","19,617",711,"5,429","4,234",153,551,277,214,"4,970",8.5%,3.95,,,,
Kern ,Taft                ,"8,701","6,749","1,952","2,552","1,916",113,194,240,89,"2,334",8.5%,2.89,,,,
Kern ,Tehachapi           ,"12,779","9,061","3,718","3,699","2,443",119,439,251,447,"3,258",11.9%,2.78,,,,
Kern ,Wasco               ,"28,940","24,102","4,838","6,452","4,802",193,648,625,184,"6,099",5.5%,3.95,,,,
Kern ,Balance Of County    ,"317,601","314,537","3,064","115,268","81,898","2,230","8,937","5,131","17,072","100,344",12.9%,3.14,,,,
Kern ,Incorporated,"599,227","571,926","27,301","186,612","134,251","5,206","20,729","20,404","6,022","174,135",6.7%,3.28,,,,
Kern ,County Total,"916,828","886,463","30,365","301,880","216,149","7,436","29,666","25,535","23,094","274,479",9.1%,3.23,,,,
Kings ,Avenal              ,"12,992","8,956","4,036","2,527","1,534",81,432,374,106,"2,259",10.6%,3.97,,,,
Kings ,Corcoran            ,"21,535","13,084","8,451","4,145","3,090",133,428,298,196,"3,859",6.9%,3.39,,,,
Kings ,Hanford             ,"59,178","58,002","1,176","20,353","15,081",633,"1,723","2,495",421,"19,726",3.1%,2.94,,,,
Kings ,Lemoore             ,"26,373","26,356",17,"9,448","6,745",336,762,"1,298",307,"9,092",3.8%,2.90,,,,
Kings ,Balance Of County    ,"33,111","31,125","1,986","10,342","7,686","1,036",483,156,981,"9,714",6.1%,3.20,,,,
Kings ,Incorporated,"120,078","106,398","13,680","36,473","26,450","1,183","3,345","4,465","1,030","34,936",4.2%,3.05,,,,
Kings ,County Total,"153,189","137,523","15,666","46,815","34,136","2,219","3,828","4,621","2,011","44,650",4.6%,3.08,,,,
Lake ,Clearlake           ,"14,008","13,548",460,"7,789","4,060",163,412,752,"2,402","5,452",30.0%,2.49,,,,
Lake ,Lakeport            ,"4,781","4,644",137,"2,440","1,485",109,183,240,423,"2,007",17.7%,2.31,,,,
Lake ,Balance Of County    ,"45,216","44,688",528,"24,189","17,755",186,556,615,"5,077","18,737",22.5%,2.39,,,,
Lake ,Incorporated,"18,789","18,192",597,"10,229","5,545",272,595,992,"2,825","7,459",27.1%,2.44,,,,
Lake ,County Total,"64,005","62,880","1,125","34,418","23,300",458,"1,151","1,607","7,902","26,196",23.9%,2.40,,,,
Lassen ,Susanville          ,"13,653","7,847","5,806","4,257","3,070",228,138,543,278,"3,452",18.9%,2.27,,,,
Lassen ,Balance Of County    ,"15,013","13,828","1,185","8,511","6,014",73,171,198,"2,055","5,950",30.1%,2.32,,,,
Lassen ,Incorporated,"13,653","7,847","5,806","4,257","3,070",228,138,543,278,"3,452",18.9%,2.27,,,,
Lassen ,County Total,"28,666","21,675","6,991","12,768","9,084",301,309,741,"2,333","9,402",26.4%,2.31,,,,
Los Angeles ,Agoura Hills        ,"20,599","20,511",88,"7,639","5,349","1,019",185,"1,064",22,"7,383",3.4%,2.78,,,,
Los Angeles ,Alhambra            ,"86,588","85,974",614,"31,865","13,840","3,856","3,795","10,344",30,"30,294",4.9%,2.84,,,,
Los Angeles ,Arcadia             ,"57,820","56,958",862,"21,237","12,814","2,125","1,339","4,959",0,"19,908",6.3%,2.86,,,,
Los Angeles ,Artesia             ,"16,600","15,987",613,"4,731","3,382",364,291,658,36,"4,533",4.2%,3.53,,,,
Los Angeles ,Avalon              ,"4,005","3,998",7,"2,296",607,140,859,690,0,"1,572",31.5%,2.54,,,,
Los Angeles ,Azusa               ,"49,805","47,003","2,802","14,651","6,763","1,985","1,495","3,854",554,"13,596",7.2%,3.46,,,,
Los Angeles ,Baldwin Park        ,"76,388","75,982",406,"18,048","12,855","1,238",622,"3,018",315,"17,324",4.0%,4.39,,,,
Los Angeles ,Bell                ,"36,475","35,896",579,"9,298","4,764",827,989,"2,330",388,"9,031",2.9%,3.98,,,,
Los Angeles ,Bellflower          ,"77,909","77,170",739,"25,097","12,403","2,108","1,822","7,450","1,314","23,926",4.7%,3.23,,,,
Los Angeles ,Bell Gardens        ,"42,518","42,094",424,"10,012","4,935","2,482","1,035","1,209",351,"9,707",3.0%,4.34,,,,
Los Angeles ,Beverly Hills       ,"33,660","33,539",121,"16,443","5,736",291,"1,899","8,475",42,"14,592",11.3%,2.30,,,,
Los Angeles ,Bradbury            ,"1,056","1,056",0,408,390,7,0,11,0,355,13.0%,2.98,,,,
Los Angeles ,Burbank             ,"104,535","103,962",573,"44,978","19,908","1,913","4,742","18,280",135,"42,197",6.2%,2.46,,,,
Los Angeles ,Calabasas           ,"24,157","24,148",9,"9,230","6,223",663,500,"1,613",231,"8,891",3.7%,2.72,,,,
Los Angeles ,Carson              ,"92,121","90,737","1,384","26,451","18,341","2,404",706,"2,544","2,456","25,384",4.0%,3.58,,,,
Los Angeles ,Cerritos            ,"50,262","50,158",104,"16,204","13,419","1,410",429,927,19,"15,725",3.0%,3.19,,,,
Los Angeles ,Claremont           ,"35,877","30,431","5,446","12,521","8,209","1,346","1,055","1,888",23,"11,787",5.9%,2.58,,,,
Los Angeles ,Commerce            ,"12,888","12,818",70,"3,468","2,371",331,235,531,0,"3,380",2.5%,3.79,,,,
Los Angeles ,Compton             ,"98,447","97,692",755,"24,637","16,877","2,347","2,134","2,653",626,"23,418",4.9%,4.17,,,,
Los Angeles ,Covina              ,"48,899","48,464",435,"16,820","9,712","1,629",837,"4,096",546,"16,138",4.1%,3.00,,,,
Los Angeles ,Cudahy              ,"23,937","23,929",8,"5,780","2,127","1,333",326,"1,574",420,"5,607",3.0%,4.27,,,,
Los Angeles ,Culver City         ,"39,785","39,474",311,"17,819","6,963","1,601","2,089","6,950",216,"16,950",4.9%,2.33,,,,
Los Angeles ,Diamond Bar         ,"57,088","56,959",129,"18,800","13,564","1,765","1,057","2,046",368,"18,280",2.8%,3.12,,,,
Los Angeles ,Downey              ,"112,186","111,503",683,"35,838","20,448","1,583","1,633","11,806",368,"33,880",5.5%,3.29,,,,
Los Angeles ,Duarte              ,"21,531","21,124",407,"7,360","4,695",956,235,"1,312",162,"7,045",4.3%,3.00,,,,
Los Angeles ,El Monte            ,"116,876","115,796","1,080","29,588","16,405","3,737","1,482","6,459","1,505","28,343",4.2%,4.09,,,,
Los Angeles ,El Segundo          ,"16,749","16,673",76,"7,463","3,195",366,789,"3,098",15,"7,086",5.1%,2.35,,,,
Los Angeles ,Gardena             ,"60,732","59,938",794,"21,982","9,783","1,711","2,571","6,672","1,245","21,117",3.9%,2.84,,,,
Los Angeles ,Glendale            ,"204,392","202,963","1,429","81,019","27,855","3,562","6,963","42,589",50,"76,641",5.4%,2.65,,,,
Los Angeles ,Glendora            ,"51,879","51,114",765,"18,488","13,306","1,412",731,"2,369",670,"17,676",4.4%,2.89,,,,
Los Angeles ,Hawaiian Gardens    ,"14,571","14,555",16,"3,724","1,748",527,364,834,251,"3,621",2.8%,4.02,,,,
Los Angeles ,Hawthorne           ,"87,571","87,032",539,"30,634","9,011","1,310","4,072","16,094",147,"29,442",3.9%,2.96,,,,
Los Angeles ,Hermosa Beach       ,"19,601","19,586",15,"10,092","4,419",833,"2,225","2,398",217,"9,544",5.4%,2.05,,,,
Los Angeles ,Hidden Hills        ,"1,901","1,901",0,632,628,4,0,0,0,603,4.6%,3.15,,,,
Los Angeles ,Huntington Park     ,"59,337","59,082",255,"15,228","6,270","2,040","1,585","5,248",85,"14,827",2.6%,3.99,,,,
Los Angeles ,Industry            ,428,191,237,68,58,0,6,0,4,62,8.8%,3.08,,,,
Los Angeles ,Inglewood           ,"110,925","109,423","1,502","38,688","14,743","2,314","5,519","15,903",209,"36,611",5.4%,2.99,,,,
Los Angeles ,Irwindale           ,"1,442","1,392",50,410,369,10,4,21,6,381,7.1%,3.65,,,,
Los Angeles ,La Canada Flintridge,"20,352","20,325",27,"7,116","6,537",189,96,250,44,"6,849",3.8%,2.97,,,,
Los Angeles ,La Habra Heights    ,"5,469","5,461",8,"1,900","1,835",65,0,0,0,"1,840",3.2%,2.97,,,,
Los Angeles ,Lakewood            ,"80,757","80,648",109,"27,598","22,712","1,051",386,"3,298",151,"26,635",3.5%,3.03,,,,
Los Angeles ,La Mirada           ,"48,947","46,090","2,857","15,175","12,159",763,294,"1,787",172,"14,737",2.9%,3.13,,,,
Los Angeles ,Lancaster           ,"162,057","155,121","6,936","53,397","37,465",832,"3,094","8,032","3,974","48,854",8.5%,3.18,,,,
Los Angeles ,La Puente           ,"40,358","40,315",43,"9,889","6,837",487,437,"2,098",30,"9,526",3.7%,4.23,,,,
Los Angeles ,La Verne            ,"33,313","31,814","1,499","12,211","7,783",932,660,967,"1,869","11,726",4.0%,2.71,,,,
Los Angeles ,Lawndale            ,"32,873","32,698",175,"10,171","5,315","1,422",917,"2,272",245,"9,659",5.0%,3.39,,,,
Los Angeles ,Lomita              ,"20,582","20,415",167,"8,509","4,194",777,472,"2,445",621,"8,156",4.1%,2.50,,,,
Los Angeles ,Long Beach          ,"472,052","463,088","8,964","177,783","74,748","10,127","21,689","68,873","2,346","166,035",6.6%,2.79,,,,
Los Angeles ,Los Angeles         ,"3,975,234","3,878,879","96,355","1,517,755","560,432","88,926","137,109","721,206","10,082","1,400,590",7.7%,2.77,,,,
Los Angeles ,Lynwood             ,"71,399","68,360","3,039","15,341","9,359",970,"1,840","3,037",135,"14,938",2.6%,4.58,,,,
Los Angeles ,Malibu              ,"11,608","11,467",141,"6,441","4,375",532,232,761,541,"4,835",24.9%,2.37,,,,
Los Angeles ,Manhattan Beach     ,"35,294","35,266",28,"15,032","10,432","1,173","2,445",968,14,"14,023",6.7%,2.52,,,,
Los Angeles ,Maywood             ,"27,837","27,718",119,"6,768","3,686",870,915,"1,252",45,"6,630",2.0%,4.18,,,,
Los Angeles ,Monrovia            ,"37,964","37,808",156,"15,084","8,471","1,739","1,116","3,600",158,"14,203",5.8%,2.66,,,,
Los Angeles ,Montebello          ,"63,264","62,864",400,"20,051","9,818","1,656","2,505","5,806",266,"19,142",4.5%,3.28,,,,
Los Angeles ,Monterey Park       ,"60,808","60,577",231,"21,155","12,148","1,993","2,121","4,829",64,"20,033",5.3%,3.02,,,,
Los Angeles ,Norwalk             ,"106,062","104,470","1,592","28,135","20,571","1,255",918,"4,895",496,"27,116",3.6%,3.85,,,,
Los Angeles ,Palmdale            ,"156,910","156,711",199,"47,251","37,171",854,"1,416","5,653","2,157","43,889",7.1%,3.57,,,,
Los Angeles ,Palos Verdes Estates,"13,377","13,360",17,"5,300","4,894",67,30,297,12,"5,015",5.4%,2.66,,,,
Los Angeles ,Paramount           ,"55,566","55,256",310,"14,710","6,693","1,706",915,"4,263","1,133","14,185",3.6%,3.90,,,,
Los Angeles ,Pasadena            ,"145,061","141,348","3,713","62,753","26,388","4,225","5,275","26,735",130,"57,825",7.9%,2.44,,,,
Los Angeles ,Pico Rivera         ,"63,530","63,076",454,"17,173","13,130",700,477,"2,367",499,"16,633",3.1%,3.79,,,,
Los Angeles ,Pomona              ,"153,992","150,005","3,987","41,822","25,226","3,080","3,562","7,976","1,978","39,606",5.3%,3.79,,,,
Los Angeles ,Rancho Palos Verdes ,"41,835","41,495",340,"16,334","12,561","1,043",324,"2,381",25,"15,549",4.8%,2.67,,,,
Los Angeles ,Redondo Beach       ,"66,900","66,469",431,"30,892","12,149","4,402","4,661","9,420",260,"28,917",6.4%,2.30,,,,
Los Angeles ,Rolling Hills       ,"1,877","1,877",0,719,718,0,0,1,0,666,7.4%,2.82,,,,
