"Table 2: E-5 City/County Population and Housing Estimates, 1/1/2018",,,,,,,,,,,,
,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,
 ,,,,,,,,,,, ,
County Total,"22,063","21,803",260,"8,151","6,032",115,735,477,792,"7,327",10.1%,2.98
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Contra Costa County,,,,,,,,,,, ,
Antioch             ,"113,266","112,602",664,"35,882","27,918","1,707","1,471","4,384",402,"33,750",5.9%,3.34
Brentwood           ,"62,140","61,994",146,"20,154","17,792",619,344,"1,045",354,"18,827",6.6%,3.29
Clayton             ,"11,631","11,621",10,"4,112","3,365",540,108,99,0,"4,041",1.7%,2.88
Concord             ,"129,493","128,093","1,400","47,290","27,403","3,207","3,427","11,494","1,759","44,315",6.3%,2.89
Danville            ,"45,103","44,860",243,"16,196","12,249","2,933",157,826,31,"15,642",3.4%,2.87
El Cerrito          ,"25,192","25,099",93,"10,842","7,494",350,"1,389","1,550",59,"10,257",5.4%,2.45
Hercules            ,"25,964","25,909",55,"8,764","5,691","1,357",567,"1,136",13,"8,280",5.5%,3.13
Lafayette           ,"26,077","25,978",99,"9,943","7,689",301,693,"1,252",8,"9,518",4.3%,2.73
Martinez            ,"38,406","37,119","1,287","15,245","9,564","2,218","1,326","2,122",15,"14,517",4.8%,2.56
Moraga              ,"16,886","15,163","1,723","5,800","3,863",871,289,777,0,"5,585",3.7%,2.72
Oakley,"40,949","40,846",103,"12,705","11,587",236,129,377,376,"11,722",7.7%,3.49
Orinda              ,"19,331","19,288",43,"7,049","6,537",177,9,326,0,"6,789",3.7%,2.84
Pinole              ,"19,458","19,390",68,"7,163","5,055",613,497,962,36,"6,777",5.4%,2.86
Pittsburg           ,"72,006","71,715",291,"22,999","16,407","1,313","1,231","3,301",747,"21,020",8.6%,3.41
Pleasant Hill       ,"34,969","34,506",463,"14,332","8,571","1,566","1,002","3,110",83,"13,677",4.6%,2.52
Richmond            ,"110,128","108,483","1,645","39,664","22,126","2,372","6,235","8,768",163,"36,241",8.6%,2.99
San Pablo           ,"31,737","31,296",441,"9,530","4,343",494,"1,548","2,763",382,"9,030",5.2%,3.47
San Ramon           ,"83,179","83,104",75,"28,599","17,837","3,073","1,142","6,510",37,"27,557",3.6%,3.02
Walnut Creek        ,"69,498","68,496","1,002","33,679","12,518","5,040","4,380","11,741",0,"31,201",7.4%,2.20
,,,,,,,,,,, ,
Balance Of County    ,"172,466","171,598",868,"63,975","48,138","2,983","2,671","7,366","2,817","58,898",7.9%,2.91
Incorporated,"975,413","965,562","9,851","349,948","228,009","28,987","25,944","62,543","4,465","328,746",6.1%,2.94
 ,,,,,,,,,,, ,
County Total,"1,147,879","1,137,160","10,719","413,923","276,147","31,970","28,615","69,909","7,282","387,644",6.3%,2.93
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Del Norte County,,,,,,,,,,, ,
Crescent City       ,"6,821","4,026","2,795","1,898",918,92,360,470,58,"1,770",6.7%,2.28
,,,,,,,,,,, ,
Balance Of County    ,"20,371","20,156",215,"9,424","5,971",181,463,327,"2,482","8,341",11.5%,2.42
Incorporated,"6,821","4,026","2,795","1,898",918,92,360,470,58,"1,770",6.7%,2.27
 ,,,,,,,,,,, ,
County Total,"27,192","24,182","3,010","11,322","6,889",273,823,797,"2,540","10,111",10.7%,2.39
,,,,,,,,,,, ,
,,,,,,,,,,, ,
El Dorado County,,,,,,,,,,, ,
Placerville         ,"10,784","10,149",635,"4,696","3,079",193,814,439,171,"4,243",9.6%,2.39
South Lake Tahoe    ,"22,491","22,112",379,"15,779","9,540",404,"2,458","2,814",563,"9,292",41.1%,2.38
,,,,,,,,,,, ,
Balance Of County    ,"156,317","155,657",660,"71,270","62,415",793,"1,602","3,073","3,387","59,358",16.7%,2.62
Incorporated,"33,275","32,261","1,014","20,475","12,619",597,"3,272","3,253",734,"13,535",33.9%,2.38
 ,,,,,,,,,,, ,
County Total,"189,592","187,918","1,674","91,745","75,034","1,390","4,874","6,326","4,121","72,893",20.5%,2.58
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Fresno County,,,,,,,,,,, ,
Clovis              ,"113,895","113,507",388,"40,683","29,532",764,"3,408","6,019",960,"38,302",5.9%,2.96
Coalinga            ,"17,120","12,769","4,351","4,491","2,858",51,426,653,503,"4,071",9.4%,3.14
Firebaugh           ,"8,078","8,065",13,"2,133","1,381",108,348,221,75,"1,976",7.4%,4.08
Fowler              ,"6,520","6,473",47,"2,042","1,508",26,160,225,123,"1,942",4.9%,3.33
Fresno              ,"531,580","522,184","9,396","179,679","110,396","4,648","22,446","37,440","4,749","163,798",8.8%,3.19
Huron               ,"7,289","7,289",0,"1,673",500,120,395,554,104,"1,592",4.8%,4.58
Kerman              ,"15,096","15,089",7,"4,215","3,041",100,437,455,182,"3,957",6.1%,3.81
Kingsburg           ,"12,253","12,171",82,"4,250","3,123",53,413,463,198,"3,959",6.8%,3.07
Mendota             ,"12,255","12,255",0,"2,744","1,662",167,428,430,57,"2,593",5.5%,4.73
Orange Cove         ,"9,924","9,924",0,"2,311","1,458",94,285,474,0,"2,175",5.9%,4.56
Parlier             ,"15,917","15,915",2,"3,689","2,541",61,406,628,53,"3,483",5.6%,4.57
Reedley             ,"26,556","26,277",279,"7,210","5,048",84,726,"1,089",263,"6,931",3.9%,3.79
Sanger              ,"26,489","26,355",134,"7,565","5,792",75,"1,154",443,101,"6,992",7.6%,3.77
San Joaquin         ,"4,200","4,200",0,932,588,38,203,46,57,890,4.5%,4.72
Selma               ,"24,932","24,767",165,"7,048","5,452",139,482,585,390,"6,629",5.9%,3.74
,,,,,,,,,,, ,
Balance Of County    ,"175,148","173,088","2,060","61,386","50,071",936,"1,888","1,412","7,079","53,026",13.6%,3.26
Incorporated,"832,104","817,240","14,864","270,665","174,880","6,528","31,717","49,725","7,815","249,290",7.9%,3.28
 ,,,,,,,,,,, ,
County Total,"1,007,252","990,328","16,924","332,051","224,951","7,464","33,605","51,137","14,894","302,316",9.0%,3.28
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Glenn County,,,,,,,,,,, ,
Orland              ,"7,998","7,987",11,"2,937","2,140",34,376,309,78,"2,779",5.4%,2.87
Willows             ,"6,273","6,071",202,"2,459","1,684",65,320,367,23,"2,223",9.6%,2.73
,,,,,,,,,,, ,
Balance Of County    ,"14,491","14,389",102,"5,774","4,132",114,126,91,"1,311","5,089",11.9%,2.83
Incorporated,"14,271","14,058",213,"5,396","3,824",99,696,676,101,"5,002",7.3%,2.81
 ,,,,,,,,,,, ,
County Total,"28,762","28,447",315,"11,170","7,956",213,822,767,"1,412","10,091",9.7%,2.82
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Humboldt County,,,,,,,,,,, ,
Arcata              ,"18,054","15,757","2,297","8,019","3,374",524,"1,203","2,029",889,"7,656",4.5%,2.06
Blue Lake           ,"1,253","1,253",0,584,368,11,114,33,58,553,5.3%,2.27
Eureka              ,"27,195","25,308","1,887","11,950","7,581",460,"2,259","1,517",133,"11,364",4.9%,2.23
Ferndale            ,"1,344","1,344",0,721,595,17,85,24,0,611,15.3%,2.20
Fortuna             ,"12,144","11,883",261,"5,145","3,423",162,593,608,359,"4,869",5.4%,2.44
Rio Dell            ,"3,351","3,330",21,"1,462","1,045",70,180,18,149,"1,388",5.1%,2.40
Trinidad            ,363,362,1,252,186,2,32,7,25,188,25.4%,1.93
,,,,,,,,,,, ,
Balance Of County    ,"72,380","71,264","1,116","34,737","26,037",879,"1,788","1,510","4,523","30,880",11.1%,2.31
Incorporated,"63,704","59,237","4,467","28,133","16,572","1,246","4,466","4,236","1,613","26,629",5.3%,2.22
 ,,,,,,,,,,, ,
County Total,"136,084","130,501","5,583","62,870","42,609","2,125","6,254","5,746","6,136","57,509",8.5%,2.27
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Imperial County,,,,,,,,,,, ,
Brawley             ,"27,073","26,899",174,"8,388","5,498",218,737,"1,565",370,"7,796",7.1%,3.45
Calexico            ,"42,034","41,934",100,"10,853","7,370",484,"1,178","1,651",170,"10,387",4.3%,4.04
Calipatria          ,"7,551","3,807","3,744","1,122",860,16,44,141,61,"1,020",9.1%,3.73
El Centro           ,"46,193","45,377",816,"14,715","8,173",427,"1,577","3,007","1,531","13,409",8.9%,3.38
Holtville           ,"6,738","6,738",0,"1,965","1,306",73,177,203,206,"1,922",2.2%,3.51
Imperial            ,"19,511","19,480",31,"5,866","4,367",389,401,639,70,"5,489",6.4%,3.55
Westmorland         ,"2,460","2,460",0,677,464,10,100,83,20,657,3.0%,3.74
,,,,,,,,,,, ,
Balance Of County    ,"38,063","34,002","4,061","14,151","7,711",290,586,372,"5,192","10,323",27.1%,3.29
Incorporated,"151,560","146,695","4,865","43,586","28,038","1,617","4,214","7,289","2,428","40,680",6.7%,3.61
 ,,,,,,,,,,, ,
County Total,"189,623","180,697","8,926","57,737","35,749","1,907","4,800","7,661","7,620","51,003",11.7%,3.54
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Inyo County,,,,,,,,,,, ,
Bishop              ,"3,900","3,792",108,"1,933",767,83,373,340,370,"1,756",9.2%,2.16
,,,,,,,,,,, ,
Balance Of County    ,"14,699","14,382",317,"7,589","4,876",133,229,139,"2,212","6,316",16.8%,2.28
Incorporated,"3,900","3,792",108,"1,933",767,83,373,340,370,"1,756",9.2%,2.16
 ,,,,,,,,,,, ,
County Total,"18,599","18,174",425,"9,522","5,643",216,602,479,"2,582","8,072",15.2%,2.25
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Kern County,,,,,,,,,,, ,
Arvin               ,"21,577","21,228",349,"4,804","3,488",172,421,578,145,"4,557",5.1%,4.66
Bakersfield         ,"384,921","381,322","3,599","129,559","92,476","3,363","14,657","16,289","2,774","118,547",8.5%,3.22
California City     ,"14,871","12,413","2,458","5,217","4,046",97,471,159,444,"4,261",18.3%,2.91
Delano              ,"53,664","44,700","8,964","10,927","7,692",468,"1,245","1,073",449,"10,475",4.1%,4.27
Maricopa            ,"1,237","1,237",0,464,186,3,20,0,255,429,7.5%,2.88
Mcfarland           ,"15,171","13,483","1,688","3,039","2,606",57,208,98,70,"2,936",3.4%,4.59
Ridgecrest          ,"29,404","29,131",273,"12,210","8,134",470,"1,849",814,943,"11,075",9.3%,2.63
Shafter             ,"20,093","19,324",769,"5,102","3,910",153,548,277,214,"4,820",5.5%,4.01
Taft                ,"9,493","6,644","2,849","2,544","1,906",113,196,240,89,"2,264",11.0%,2.94
Tehachapi           ,"12,976","9,457","3,519","3,663","2,427",100,439,251,446,"3,348",8.6%,2.83
Wasco               ,"27,681","22,680","5,001","6,048","4,624",193,476,571,184,"5,650",6.6%,4.01
,,,,,,,,,,, ,
Balance Of County    ,"315,475","312,062","3,413","114,722","81,404","2,219","8,923","5,131","17,045","98,047",14.5%,3.18
Incorporated,"591,088","561,619","29,469","183,577","131,495","5,189","20,530","20,350","6,013","168,362",8.3%,3.34
 ,,,,,,,,,,, ,
County Total,"906,563","873,681","32,882","298,299","212,899","7,408","29,453","25,481","23,058","266,409",10.7%,3.28
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Kings County,,,,,,,,,,, ,
Avenal              ,"13,694","9,591","4,103","2,485","1,527",81,432,338,107,"2,374",4.5%,4.04
Corcoran            ,"21,523","12,884","8,639","4,087","3,033",133,428,298,195,"3,725",8.9%,3.46
Hanford             ,"57,346","56,281","1,065","20,004","14,747",632,"1,709","2,495",421,"18,761",6.2%,3.00
Lemoore             ,"25,939","25,922",17,"9,260","6,555",336,764,"1,298",307,"8,764",5.4%,2.96
,,,,,,,,,,, ,
Balance Of County    ,"33,274","31,321","1,953","10,334","7,688","1,036",483,156,971,"9,664",6.5%,3.24
Incorporated,"118,502","104,678","13,824","35,836","25,862","1,182","3,333","4,429","1,030","33,624",6.2%,3.11
 ,,,,,,,,,,, ,
County Total,"151,776","135,999","15,777","46,170","33,550","2,218","3,816","4,585","2,001","43,288",6.2%,3.14
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Lake County,,,,,,,,,,, ,
Clearlake           ,"14,975","14,515",460,"7,914","4,131",163,410,752,"2,458","5,696",28.0%,2.55
Lakeport            ,"4,784","4,647",137,"2,442","1,487",109,183,240,423,"1,959",19.8%,2.37
,,,,,,,,,,, ,
Balance Of County    ,"45,305","44,754",551,"24,204","17,784",186,554,615,"5,065","18,299",24.4%,2.45
Incorporated,"19,759","19,162",597,"10,356","5,618",272,593,992,"2,881","7,655",26.1%,2.50
 ,,,,,,,,,,, ,
County Total,"65,064","63,916","1,148","34,560","23,402",458,"1,147","1,607","7,946","25,954",24.9%,2.46
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Lassen County,,,,,,,,,,, ,
Susanville          ,"15,249","8,787","6,462","4,251","3,064",228,138,543,278,"4,045",4.8%,2.17
,,,,,,,,,,, ,
Balance Of County    ,"15,335","14,222","1,113","8,505","6,010",73,171,198,"2,053","6,404",24.7%,2.22
Incorporated,"15,249","8,787","6,462","4,251","3,064",228,138,543,278,"4,045",4.8%,2.17
 ,,,,,,,,,,, ,
County Total,"30,584","23,009","7,575","12,756","9,074",301,309,741,"2,331","10,449",18.1%,2.20
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Los Angeles County,,,,,,,,,,, ,
Agoura Hills        ,"20,874","20,786",88,"7,625","5,357","1,019",171,"1,056",22,"7,391",3.1%,2.81
Alhambra            ,"87,070","86,456",614,"31,721","13,801","3,856","3,710","10,324",30,"30,095",5.1%,2.87
Arcadia             ,"58,516","57,654",862,"21,084","12,827","2,125","1,265","4,867",0,"19,997",5.2%,2.88
Artesia             ,"16,910","16,297",613,"4,713","3,376",364,291,646,36,"4,565",3.1%,3.57
Avalon              ,"3,856","3,849",7,"2,294",605,140,859,690,0,"1,498",34.7%,2.57
Azusa               ,"50,237","47,435","2,802","14,374","6,732","1,985","1,416","3,687",554,"13,608",5.3%,3.49
Baldwin Park        ,"77,161","76,755",406,"17,923","12,765","1,238",599,"3,006",315,"17,290",3.5%,4.44
Bell                ,"36,307","35,728",579,"9,216","4,749",827,987,"2,265",388,"8,924",3.2%,4.00
Bellflower          ,"78,279","77,540",739,"24,976","12,382","2,079","1,814","7,387","1,314","23,748",4.9%,3.27
Bell Gardens        ,"43,123","42,699",424,"10,017","4,942","2,480","1,035","1,209",351,"9,725",2.9%,4.39
Beverly Hills       ,"34,697","34,576",121,"16,451","5,720",291,"1,899","8,499",42,"14,863",9.7%,2.33
Bradbury            ,"1,084","1,084",0,409,391,7,0,11,0,359,12.2%,3.02
Burbank             ,"106,175","105,602",573,"44,642","19,821","1,912","4,735","18,039",135,"42,346",5.1%,2.49
Calabasas           ,"24,284","24,275",9,"9,187","6,226",661,492,"1,577",231,"8,829",3.9%,2.75
Carson              ,"93,609","92,169","1,440","26,289","18,312","2,399",698,"2,424","2,456","25,475",3.1%,3.62
Cerritos            ,"50,280","50,176",104,"16,072","13,419","1,410",429,795,19,"15,640",2.7%,3.21
Claremont           ,"36,479","31,033","5,446","12,459","8,205","1,336","1,007","1,888",23,"11,877",4.7%,2.61
Commerce            ,"13,054","12,984",70,"3,472","2,375",331,235,531,0,"3,384",2.5%,3.84
Compton             ,"98,985","98,230",755,"24,599","16,841","2,347","2,132","2,653",626,"23,260",5.4%,4.22
Covina              ,"48,914","48,479",435,"16,674","9,674","1,528",835,"4,091",546,"15,947",4.4%,3.04
Cudahy              ,"24,333","24,325",8,"5,774","2,141","1,313",326,"1,574",420,"5,631",2.5%,4.32
Culver City         ,"39,790","39,479",311,"17,578","6,923","1,585","2,090","6,764",216,"16,873",4.0%,2.34
Diamond Bar         ,"57,572","57,443",129,"18,753","13,519","1,765","1,055","2,046",368,"18,212",2.9%,3.15
Downey              ,"114,413","113,730",683,"35,788","20,440","1,543","1,631","11,806",368,"34,137",4.6%,3.33
Duarte              ,"22,007","21,600",407,"7,337","4,691",937,235,"1,312",162,"7,115",3.0%,3.04
El Monte            ,"116,315","115,235","1,080","29,316","16,376","3,733","1,473","6,229","1,505","28,020",4.4%,4.11
El Segundo          ,"17,067","16,991",76,"7,433","3,182",354,782,"3,100",15,"7,135",4.0%,2.38
Gardena             ,"61,158","60,364",794,"21,873","9,759","1,628","2,569","6,672","1,245","21,010",3.9%,2.87
Glendale            ,"204,782","203,353","1,429","80,176","27,757","3,562","6,914","41,893",50,"75,885",5.4%,2.68
Glendora            ,"52,086","51,321",765,"18,280","13,271","1,412",692,"2,235",670,"17,530",4.1%,2.93
Hawaiian Gardens    ,"14,723","14,707",16,"3,719","1,743",527,364,834,251,"3,615",2.8%,4.07
Hawthorne           ,"87,996","87,457",539,"30,556","8,960","1,310","4,070","16,069",147,"29,227",4.3%,2.99
Hermosa Beach       ,"19,814","19,799",15,"10,026","4,366",803,"2,242","2,398",217,"9,529",5.0%,2.08
Hidden Hills        ,"1,900","1,900",0,631,627,4,0,0,0,597,5.4%,3.18
Huntington Park     ,"59,386","59,131",255,"15,176","6,258","2,040","1,585","5,208",85,"14,658",3.4%,4.03
Industry            ,432,195,237,68,58,0,6,0,4,62,8.8%,3.15
Inglewood           ,"112,759","111,257","1,502","38,655","14,751","2,314","5,518","15,863",209,"36,774",4.9%,3.03
Irwindale           ,"1,447","1,397",50,400,359,10,4,21,6,374,6.5%,3.74
La Canada Flintridge,"20,623","20,596",27,"7,092","6,516",186,96,250,44,"6,856",3.3%,3.00
La Habra Heights    ,"5,489","5,469",20,"1,897","1,832",65,0,0,0,"1,829",3.6%,2.99
Lakewood            ,"81,459","81,350",109,"27,552","22,708","1,051",378,"3,264",151,"26,542",3.7%,3.07
La Mirada           ,"49,585","46,728","2,857","15,134","12,125",762,288,"1,787",172,"14,760",2.5%,3.17
Lancaster           ,"161,395","154,266","7,129","52,881","37,122",832,"3,090","7,880","3,957","48,005",9.2%,3.21
La Puente           ,"40,719","40,676",43,"9,802","6,788",483,403,"2,098",30,"9,498",3.1%,4.28
La Verne            ,"33,239","32,140","1,099","12,147","7,758",931,660,929,"1,869","11,703",3.7%,2.75
Lawndale            ,"33,527","33,352",175,"10,162","5,321","1,422",901,"2,273",245,"9,734",4.2%,3.43
Lomita              ,"20,776","20,609",167,"8,489","4,194",776,466,"2,432",621,"8,132",4.2%,2.53
Long Beach          ,"475,984","467,236","8,748","177,245","74,497","10,123","21,658","68,621","2,346","165,371",6.7%,2.83
Los Angeles         ,"4,038,313","3,942,902","95,411","1,483,697","557,999","87,903","130,497","697,216","10,082","1,376,563",7.2%,2.86
Lynwood             ,"71,497","68,656","2,841","15,319","9,345",968,"1,834","3,037",135,"14,754",3.7%,4.65
Malibu              ,"13,011","12,870",141,"6,913","4,833",548,230,761,541,"5,325",23.0%,2.42
Manhattan Beach     ,"36,010","35,982",28,"15,049","10,434","1,174","2,451",976,14,"14,136",6.1%,2.55
Maywood             ,"28,029","27,910",119,"6,761","3,685",870,909,"1,252",45,"6,595",2.5%,4.23
Monrovia            ,"38,582","38,426",156,"15,021","8,458","1,736","1,103","3,566",158,"14,262",5.1%,2.69
Montebello          ,"64,316","63,916",400,"20,013","9,821","1,656","2,464","5,806",266,"19,226",3.9%,3.32
Monterey Park       ,"62,061","61,830",231,"21,179","12,155","1,993","2,123","4,844",64,"20,201",4.6%,3.06
Norwalk             ,"106,888","105,340","1,548","28,067","20,557","1,255",877,"4,890",488,"27,017",3.7%,3.90
Palmdale            ,"157,782","157,583",199,"47,055","37,047",852,"1,416","5,583","2,157","43,596",7.4%,3.62
Palos Verdes Estates,"13,579","13,562",17,"5,298","4,892",67,30,297,12,"5,030",5.1%,2.70
Paramount           ,"55,503","55,193",310,"14,650","6,653","1,706",895,"4,263","1,133","13,994",4.5%,3.94
Pasadena            ,"145,003","141,510","3,493","62,170","26,395","4,225","5,257","26,163",130,"57,508",7.5%,2.46
Pico Rivera         ,"64,306","63,852",454,"17,146","13,125",669,439,"2,414",499,"16,633",3.0%,3.84
Pomona              ,"154,189","150,186","4,003","41,496","24,994","3,080","3,512","7,932","1,978","39,180",5.6%,3.83
Rancho Palos Verdes ,"42,664","42,324",340,"16,317","12,544","1,043",324,"2,381",25,"15,667",4.0%,2.70
Redondo Beach       ,"68,361","67,930",431,"30,728","12,091","4,380","4,642","9,356",259,"29,197",5.0%,2.33
Rolling Hills       ,"1,898","1,898",0,719,718,0,0,1,0,666,7.4%,2.85
Rolling Hills Estates,"8,254","8,254",0,"3,101","2,324",669,35,37,36,"2,981",3.9%,2.77
Rosemead            ,"55,237","54,824",413,"14,960","11,213","1,451",853,"1,277",166,"14,385",3.8%,3.81
San Dimas           ,"34,669","34,129",540,"12,793","7,356","1,673",312,"2,001","1,451","12,288",3.9%,2.78
San Fernando        ,"24,593","24,479",114,"6,436","4,607",464,475,769,121,"6,100",5.2%,4.01
San Gabriel         ,"41,270","40,818",452,"13,543","7,462","1,689",775,"3,609",8,"12,810",5.4%,3.19
San Marino          ,"13,360","13,279",81,"4,483","4,428",15,0,40,0,"4,324",3.5%,3.07
Santa Clarita       ,"212,378","210,968","1,410","74,294","44,707","8,592","3,113","15,279","2,603","69,831",6.0%,3.02
Santa Fe Springs    ,"18,253","18,060",193,"5,494","3,249",199,292,"1,681",73,"5,255",4.4%,3.44
Santa Monica        ,"93,698","91,552","2,146","52,441","9,734","1,832","5,291","35,380",204,"48,173",8.1%,1.90
Sierra Madre        ,"11,165","11,164",1,"5,121","3,552",328,337,904,0,"4,861",5.1%,2.30
Signal Hill         ,"11,758","11,712",46,"4,606","1,424",620,638,"1,924",0,"4,362",5.3%,2.69
South El Monte      ,"21,092","21,035",57,"4,840","3,537",189,243,421,450,"4,708",2.7%,4.47
South Gate          ,"97,019","96,931",88,"24,503","15,332","1,927","3,224","3,728",292,"23,509",4.1%,4.12
South Pasadena      ,"26,276","26,113",163,"11,157","4,972",662,"1,402","4,121",0,"10,549",5.4%,2.48
Temple City         ,"36,447","36,025",422,"12,250","9,876",913,345,"1,009",107,"11,691",4.6%,3.08
Torrance            ,"148,408","147,262","1,146","58,527","30,693","3,655","3,666","19,378","1,135","56,158",4.0%,2.62
Vernon              ,302,302,0,76,23,0,0,53,0,74,2.6%,4.08
Walnut              ,"30,557","30,523",34,"9,022","8,596",85,35,303,3,"8,782",2.7%,3.48
West Covina         ,"108,388","107,714",674,"32,900","21,243","3,117","1,235","6,960",345,"31,719",3.6%,3.40
