"E-8 City/County/State Population and Housing Estimates, 4/1/2000 to 4/1/2010",,,,,,,,,,,,
,,POPULATION,,, HOUSING UNITS,,,,,,,
,1/1/2004,"206,694","204,975","1,719","71,136","50,442","19,949",745,"69,257","1,879",2.64%,2.960
,1/1/2005,"206,712","205,004","1,708","71,784","50,851","20,191",742,"69,725","2,059",2.87%,2.940
,1/1/2006,"206,454","204,757","1,697","72,174","51,271","20,164",739,"69,940","2,234",3.10%,2.928
,1/1/2007,"207,358","205,672","1,686","72,477","51,708","20,033",736,"70,068","2,409",3.32%,2.935
,1/1/2008,"209,257","207,582","1,675","72,952","52,116","20,103",733,"70,366","2,586",3.54%,2.950
,1/1/2009,"211,506","209,841","1,665","73,398","52,655","20,013",730,"70,635","2,763",3.76%,2.971
,1/1/2010,"213,524","211,870","1,654","73,782","53,104","19,951",727,"70,843","2,939",3.98%,2.991
,4/1/2010,"214,089","212,438","1,651","73,989","53,234","20,029",726,"71,004","2,985",4.03%,2.992
,,,,,,,,,,,,
Alameda,4/1/2000,"140,030","137,892","2,138","45,922","26,153","17,470","2,299","44,804","1,118",2.43%,3.078
Hayward,1/1/2001,"141,444","139,276","2,168","46,300","26,461","17,539","2,300","45,029","1,271",2.75%,3.093
,1/1/2002,"141,850","139,659","2,191","46,459","26,785","17,372","2,302","44,993","1,466",3.16%,3.104
,1/1/2003,"141,263","139,050","2,213","46,590","26,918","17,368","2,304","44,930","1,660",3.56%,3.095
,1/1/2004,"140,681","138,442","2,239","46,758","27,149","17,303","2,306","44,901","1,857",3.97%,3.083
,1/1/2005,"140,530","138,268","2,262","47,201","27,707","17,186","2,308","45,142","2,059",4.36%,3.063
,1/1/2006,"140,305","138,021","2,284","47,513","28,060","17,144","2,309","45,254","2,259",4.75%,3.050
,1/1/2007,"140,720","138,205","2,515","47,643","28,292","17,040","2,311","45,190","2,453",5.15%,3.058
,1/1/2008,"141,495","138,822","2,673","47,803","28,606","16,882","2,315","45,155","2,648",5.54%,3.074
,1/1/2009,"142,642","139,946","2,696","48,031","28,905","16,806","2,320","45,185","2,846",5.93%,3.097
,1/1/2010,"143,921","141,203","2,718","48,176","29,178","16,676","2,322","45,296","2,880",5.98%,3.117
,4/1/2010,"144,186","141,462","2,724","48,296","29,323","16,651","2,322","45,365","2,931",6.07%,3.118
,,,,,,,,,,,,
Alameda,4/1/2000,"73,464","73,147",317,"26,613","21,505","4,677",431,"26,126",487,1.83%,2.800
Livermore,1/1/2001,"74,422","74,088",334,"26,931","21,780","4,712",439,"26,389",542,2.01%,2.808
,1/1/2002,"75,560","75,198",362,"27,384","22,128","4,806",450,"26,768",616,2.25%,2.809
,1/1/2003,"76,332","75,970",362,"27,894","22,574","4,859",461,"27,204",690,2.47%,2.793
,1/1/2004,"76,660","76,264",396,"28,251","22,870","4,909",472,"27,489",762,2.70%,2.774
,1/1/2005,"78,019","77,599",420,"29,066","23,199","5,384",483,"28,224",842,2.90%,2.749
,1/1/2006,"78,482","78,039",443,"29,494","23,526","5,474",494,"28,579",915,3.10%,2.731
,1/1/2007,"79,374","78,927",447,"29,885","23,815","5,565",505,"28,898",987,3.30%,2.731
,1/1/2008,"79,890","79,417",473,"30,060","23,938","5,607",515,"29,004","1,056",3.51%,2.738
,1/1/2009,"80,482","79,978",504,"30,197","24,021","5,650",526,"29,074","1,123",3.72%,2.751
,1/1/2010,"80,932","80,410",522,"30,297","24,052","5,708",537,"29,106","1,191",3.93%,2.763
,4/1/2010,"80,968","80,458",510,"30,342","24,045","5,757",540,"29,134","1,208",3.98%,2.762
,,,,,,,,,,,,
Alameda,4/1/2000,"42,471","42,382",89,"13,150","10,183","2,908",59,"12,992",158,1.20%,3.262
Newark,1/1/2001,"42,884","42,791",93,"13,240","10,302","2,883",55,"13,060",180,1.36%,3.276
,1/1/2002,"43,103","43,004",99,"13,299","10,403","2,847",49,"13,090",209,1.57%,3.285
,1/1/2003,"43,184","43,080",104,"13,401","10,547","2,811",43,"13,163",238,1.78%,3.273
,1/1/2004,"42,933","42,823",110,"13,411","10,598","2,776",37,"13,145",266,1.98%,3.258
,1/1/2005,"42,524","42,408",116,"13,409","10,638","2,740",31,"13,115",294,2.19%,3.234
,1/1/2006,"42,226","42,105",121,"13,410","10,681","2,704",25,"13,088",322,2.40%,3.217
,1/1/2007,"42,221","42,094",127,"13,411","10,724","2,668",19,"13,061",350,2.61%,3.223
,1/1/2008,"42,327","42,195",132,"13,415","10,771","2,631",13,"13,036",379,2.83%,3.237
,1/1/2009,"42,429","42,291",138,"13,415","10,812","2,596",7,"13,008",407,3.03%,3.251
,1/1/2010,"42,592","42,448",144,"13,414","10,854","2,559",1,"12,979",435,3.24%,3.271
,4/1/2010,"42,573","42,428",145,"13,414","10,864","2,550",0,"12,972",442,3.30%,3.271
,,,,,,,,,,,,
Alameda,4/1/2000,"399,566","392,309","7,257","157,508","78,070","78,982",456,"150,790","6,718",4.27%,2.602
Oakland,1/1/2001,"399,262","391,939","7,323","157,903","78,302","79,138",463,"150,517","7,386",4.68%,2.604
,1/1/2002,"399,296","391,885","7,411","159,091","78,503","80,115",473,"150,786","8,305",5.22%,2.599
,1/1/2003,"397,440","389,941","7,499","160,545","78,898","81,164",483,"151,310","9,235",5.75%,2.577
,1/1/2004,"394,917","387,330","7,587","161,858","79,180","82,185",493,"151,698","10,160",6.28%,2.553
,1/1/2005,"389,937","382,262","7,675","162,630","79,424","82,703",503,"151,569","11,061",6.80%,2.522
,1/1/2006,"386,350","378,586","7,764","163,589","79,692","83,384",513,"151,620","11,969",7.32%,2.497
,1/1/2007,"385,882","378,030","7,852","164,708","79,933","84,252",523,"151,823","12,885",7.82%,2.490
,1/1/2008,"387,554","379,614","7,940","166,547","80,187","85,827",533,"152,716","13,831",8.30%,2.486
,1/1/2009,"389,913","381,885","8,028","168,065","80,482","87,040",543,"153,301","14,764",8.78%,2.491
,1/1/2010,"391,475","383,359","8,116","169,575","80,679","88,343",553,"153,879","15,696",9.26%,2.491
,4/1/2010,"390,724","382,586","8,138","169,710","80,746","88,409",555,"153,791","15,919",9.38%,2.488
,,,,,,,,,,,,
Alameda,4/1/2000,"10,952","10,950",2,"3,859","3,782",69,8,"3,804",55,1.43%,2.879
Piedmont,1/1/2001,"10,973","10,971",2,"3,863","3,780",76,7,"3,803",60,1.55%,2.885
,1/1/2002,"10,969","10,967",2,"3,870","3,777",86,7,"3,803",67,1.73%,2.884
,1/1/2003,"10,893","10,891",2,"3,876","3,775",95,6,"3,802",74,1.91%,2.865
,1/1/2004,"10,807","10,805",2,"3,882","3,772",105,5,"3,801",81,2.09%,2.843
,1/1/2005,"10,690","10,688",2,"3,887","3,769",114,4,"3,800",87,2.24%,2.813
,1/1/2006,"10,599","10,596",3,"3,893","3,766",124,3,"3,799",94,2.41%,2.789
,1/1/2007,"10,589","10,586",3,"3,900","3,764",133,3,"3,799",101,2.59%,2.787
,1/1/2008,"10,601","10,598",3,"3,907","3,761",144,2,"3,799",108,2.76%,2.790
,1/1/2009,"10,638","10,635",3,"3,914","3,759",154,1,"3,800",114,2.91%,2.799
,1/1/2010,"10,674","10,671",3,"3,923","3,759",164,0,"3,801",122,3.11%,2.807
,4/1/2010,"10,667","10,664",3,"3,924","3,758",166,0,"3,801",123,3.13%,2.806
,,,,,,,,,,,,
Alameda,4/1/2000,"63,654","63,419",235,"23,968","18,332","5,180",456,"23,311",657,2.74%,2.721
Pleasanton,1/1/2001,"65,011","64,767",244,"24,357","18,446","5,461",450,"23,682",675,2.77%,2.735
,1/1/2002,"65,712","65,457",255,"24,533","18,552","5,538",443,"23,843",690,2.81%,2.745
,1/1/2003,"66,464","66,197",267,"24,885","18,721","5,729",435,"24,175",710,2.85%,2.738
,1/1/2004,"66,732","66,453",279,"25,076","18,842","5,806",428,"24,351",725,2.89%,2.729
,1/1/2005,"66,890","66,600",290,"25,296","18,994","5,882",420,"24,554",742,2.93%,2.712
,1/1/2006,"67,215","66,913",302,"25,522","19,151","5,959",412,"24,764",758,2.97%,2.702
,1/1/2007,"68,012","67,699",313,"25,743","19,271","6,067",405,"24,978",765,2.97%,2.710
,1/1/2008,"68,796","68,471",325,"25,908","19,363","6,148",397,"25,127",781,3.01%,2.725
,1/1/2009,"69,579","69,242",337,"26,018","19,402","6,226",390,"25,224",794,3.05%,2.745
,1/1/2010,"70,135","69,787",348,"26,050","19,365","6,303",382,"25,244",806,3.09%,2.764
,4/1/2010,"70,285","69,829",456,"26,053","19,351","6,322",380,"25,245",808,3.10%,2.766
,,,,,,,,,,,,
Alameda,4/1/2000,"79,452","78,625",827,"31,334","20,935","9,495",904,"30,642",692,2.21%,2.566
San Leandro,1/1/2001,"80,341","79,527",814,"31,479","21,036","9,540",903,"30,710",769,2.44%,2.590
,1/1/2002,"81,163","80,367",796,"31,627","21,125","9,600",902,"30,756",871,2.75%,2.613
,1/1/2003,"81,342","80,564",778,"31,724","21,165","9,659",900,"30,752",972,3.06%,2.620
,1/1/2004,"81,882","81,121",761,"31,987","21,369","9,719",899,"30,911","1,076",3.36%,2.624
,1/1/2005,"81,802","81,059",743,"32,094","21,418","9,779",897,"30,917","1,177",3.67%,2.622
,1/1/2006,"81,795","81,070",725,"32,157","21,420","9,841",896,"30,880","1,277",3.97%,2.625
,1/1/2007,"82,310","81,602",708,"32,207","21,411","9,901",895,"30,831","1,376",4.27%,2.647
,1/1/2008,"83,069","82,379",690,"32,281","21,420","9,968",893,"30,804","1,477",4.58%,2.674
,1/1/2009,"83,951","83,279",672,"32,340","21,416","10,032",892,"30,763","1,577",4.88%,2.707
,1/1/2010,"84,831","84,177",654,"32,407","21,410","10,107",890,"30,729","1,678",5.18%,2.739
,4/1/2010,"84,950","84,300",650,"32,419","21,407","10,122",890,"30,717","1,702",5.25%,2.744
,,,,,,,,,,,,
Alameda,4/1/2000,"66,869","66,527",342,"18,877","14,323","3,631",923,"18,642",235,1.24%,3.569
Union City,1/1/2001,"67,477","67,122",355,"19,094","14,582","3,585",927,"18,815",279,1.46%,3.567
,1/1/2002,"68,847","68,474",373,"19,599","14,986","3,680",933,"19,257",342,1.74%,3.556
,1/1/2003,"68,383","67,993",390,"19,711","15,153","3,619",939,"19,311",400,2.03%,3.521
,1/1/2004,"67,896","67,488",408,"19,832","15,356","3,551",925,"19,375",457,2.30%,3.483
,1/1/2005,"67,544","67,118",426,"20,045","15,583","3,531",931,"19,529",516,2.57%,3.437
,1/1/2006,"67,624","67,181",443,"20,336","15,795","3,588",953,"19,761",575,2.83%,3.400
,1/1/2007,"68,160","67,699",461,"20,622","15,961","3,699",962,"19,987",635,3.08%,3.387
,1/1/2008,"68,884","68,406",478,"20,911","16,165","3,773",973,"20,216",695,3.32%,3.384
,1/1/2009,"69,108","68,612",496,"21,016","16,322","3,711",983,"20,264",752,3.58%,3.386
,1/1/2010,"69,625","69,111",514,"21,243","16,451","3,800",992,"20,432",811,3.82%,3.382
,4/1/2010,"69,516","68,998",518,"21,258","16,481","3,784",993,"20,433",825,3.88%,3.377
,,,,,,,,,,,,
Alameda,4/1/2000,"1,308,222","1,282,965","25,257","490,619","292,176","191,722","6,721","474,863","15,756",3.21%,2.702
Incorporated,1/1/2001,"1,320,393","1,294,775","25,618","494,567","295,013","192,825","6,729","477,508","17,059",3.45%,2.712
,1/1/2002,"1,329,300","1,302,621","26,679","498,445","297,666","194,034","6,745","479,399","19,046",3.82%,2.717
,1/1/2003,"1,330,234","1,302,838","27,396","502,843","300,274","195,813","6,756","481,703","21,140",4.20%,2.705
,1/1/2004,"1,328,500","1,300,270","28,230","506,167","302,047","197,368","6,752","483,551","22,616",4.47%,2.689
,1/1/2005,"1,325,289","1,296,187","29,102","510,737","304,654","199,319","6,764","486,085","24,652",4.83%,2.667
,1/1/2006,"1,325,137","1,294,133","31,004","514,901","307,059","201,051","6,791","488,297","26,604",5.17%,2.650
,1/1/2007,"1,332,837","1,300,518","32,319","518,887","309,125","202,953","6,809","490,306","28,581",5.51%,2.652
,1/1/2008,"1,345,214","1,312,109","33,105","523,898","311,191","205,880","6,827","493,265","30,633",5.85%,2.660
,1/1/2009,"1,357,398","1,323,808","33,590","527,780","313,104","207,827","6,849","495,159","32,621",6.18%,2.674
,1/1/2010,"1,367,746","1,333,208","34,538","530,720","314,590","209,267","6,863","496,333","34,387",6.48%,2.686
,4/1/2010,"1,369,005","1,330,856","38,149","530,350","314,986","208,498","6,866","495,530","34,820",6.57%,2.686
,,,,,,,,,,,,
Alameda,4/1/2000,"135,717","133,041","2,676","49,564","37,190","11,445",929,"48,503","1,061",2.14%,2.743
Balance of County,1/1/2001,"136,792","134,139","2,653","49,721","37,377","11,412",932,"48,551","1,170",2.35%,2.763
,1/1/2002,"137,763","135,142","2,621","49,914","37,568","11,410",936,"48,598","1,316",2.64%,2.781
,1/1/2003,"137,658","135,068","2,590","50,029","37,735","11,355",939,"48,570","1,459",2.92%,2.781
,1/1/2004,"137,907","135,348","2,559","50,313","38,048","11,323",942,"48,707","1,606",3.19%,2.779
,1/1/2005,"137,447","134,919","2,528","50,476","38,193","11,337",946,"48,725","1,751",3.47%,2.769
,1/1/2006,"137,234","134,737","2,497","50,614","38,334","11,330",950,"48,718","1,896",3.75%,2.766
,1/1/2007,"137,785","135,320","2,465","50,690","38,435","11,300",955,"48,650","2,040",4.02%,2.782
,1/1/2008,"138,871","136,437","2,434","50,846","38,446","11,444",956,"48,662","2,184",4.30%,2.804
,1/1/2009,"140,401","137,992","2,409","51,060","38,533","11,567",960,"48,730","2,330",4.56%,2.832
,1/1/2010,"141,494","139,116","2,378","51,128","38,652","11,512",964,"48,656","2,472",4.83%,2.859
,4/1/2010,"141,266","138,896","2,370","51,022","38,600","11,457",965,"48,516","2,506",4.91%,2.863
,,,,,,,,,,,,
Alameda,4/1/2000,"1,443,939","1,416,006","27,933","540,183","329,366","203,167","7,650","523,366","16,817",3.11%,2.706
County Total,1/1/2001,"1,457,185","1,428,914","28,271","544,288","332,390","204,237","7,661","526,059","18,229",3.35%,2.716
,1/1/2002,"1,467,063","1,437,763","29,300","548,359","335,234","205,444","7,681","527,997","20,362",3.71%,2.723
,1/1/2003,"1,467,892","1,437,906","29,986","552,872","338,009","207,168","7,695","530,273","22,599",4.09%,2.712
,1/1/2004,"1,466,407","1,435,618","30,789","556,480","340,095","208,691","7,694","532,258","24,222",4.35%,2.697
,1/1/2005,"1,462,736","1,431,106","31,630","561,213","342,847","210,656","7,710","534,810","26,403",4.70%,2.676
,1/1/2006,"1,462,371","1,428,870","33,501","565,515","345,393","212,381","7,741","537,015","28,500",5.04%,2.661
,1/1/2007,"1,470,622","1,435,838","34,784","569,577","347,560","214,253","7,764","538,956","30,621",5.38%,2.664
,1/1/2008,"1,484,085","1,448,546","35,539","574,744","349,637","217,324","7,783","541,927","32,817",5.71%,2.673
,1/1/2009,"1,497,799","1,461,800","35,999","578,840","351,637","219,394","7,809","543,889","34,951",6.04%,2.688
,1/1/2010,"1,509,240","1,472,324","36,916","581,848","353,242","220,779","7,827","544,989","36,859",6.33%,2.702
,4/1/2010,"1,510,271","1,469,752","40,519","581,372","353,586","219,955","7,831","544,046","37,326",6.42%,2.702
,,,,,,,,,,,,
Alpine,4/1/2000,"1,208","1,207",1,"1,514",887,565,62,483,"1,031",68.10%,2.499
County Total,1/1/2001,"1,220","1,217",3,"1,529",896,573,60,483,"1,046",68.41%,2.520
,1/1/2002,"1,242","1,237",5,"1,542",912,573,57,480,"1,062",68.87%,2.577
,1/1/2003,"1,248","1,241",7,"1,596",960,582,54,491,"1,105",69.24%,2.527
,1/1/2004,"1,257","1,247",10,"1,613",971,591,51,490,"1,123",69.62%,2.545
,1/1/2005,"1,237","1,225",12,"1,627",987,592,48,488,"1,139",70.01%,2.510
,1/1/2006,"1,232","1,218",14,"1,686","1,016",625,45,501,"1,185",70.28%,2.431
,1/1/2007,"1,252","1,235",17,"1,688","1,020",626,42,495,"1,193",70.68%,2.495
