county,city,date,population,housing units,single family,Multi-family,mobile homes,occupied,vacancy rate
Alameda,Alameda,4/1/1990,"73,979","30,520","15,010","15,491",19,"29,078",4.72%
Alameda,Alameda,1/1/1991,"74,577","30,815","15,188","15,587",40,"29,451",4.43%
Alameda,Alameda,1/1/1992,"76,890","31,175","15,367","15,740",68,"29,863",4.21%
Alameda,Alameda,1/1/1993,"77,142","31,234","15,505","15,633",96,"29,907",4.25%
Alameda,Alameda,1/1/1994,"78,515","31,270","15,627","15,519",124,"30,116",3.69%
Alameda,Alameda,1/1/1995,"77,261","31,273","15,732","15,389",152,"30,111",3.72%
Alameda,Alameda,1/1/1996,"77,196","31,277","15,856","15,240",181,"30,202",3.44%
Alameda,Alameda,1/1/1997,"75,277","31,368","16,065","15,094",209,"30,408",3.06%
Alameda,Alameda,1/1/1998,"71,230","31,523","16,340","14,946",237,"29,828",5.38%
Alameda,Alameda,1/1/1999,"71,624","31,610","16,541","14,804",265,"29,964",5.21%
Alameda,Alameda,1/1/2000,"72,398","31,622","16,667","14,662",293,"30,183",4.55%
Alameda,Albany,4/1/1990,"16,327","7,468","3,957","3,509",2,"7,192",3.70%
Alameda,Albany,1/1/1991,"16,273","7,456","3,956","3,498",2,"7,183",3.66%
Alameda,Albany,1/1/1992,"16,382","7,430","3,956","3,471",3,"7,161",3.62%
Alameda,Albany,1/1/1993,"16,742","7,405","3,952","3,450",3,"7,140",3.58%
Alameda,Albany,1/1/1994,"16,679","7,385","3,951","3,430",4,"7,123",3.55%
Alameda,Albany,1/1/1995,"16,343","7,366","3,954","3,408",4,"7,108",3.50%
Alameda,Albany,1/1/1996,"16,211","7,344","3,955","3,385",4,"7,090",3.46%
Alameda,Albany,1/1/1997,"16,307","7,322","3,956","3,361",5,"7,072",3.41%
Alameda,Albany,1/1/1998,"16,468","7,297","3,954","3,338",5,"7,051",3.37%
Alameda,Albany,1/1/1999,"16,440","7,279","3,959","3,314",6,"7,037",3.32%
Alameda,Albany,1/1/2000,"16,422","7,254","3,958","3,290",6,"7,016",3.28%
Alameda,Berkeley,4/1/1990,"102,724","45,735","20,752","24,969",14,"43,453",4.99%
Alameda,Berkeley,1/1/1991,"102,098","45,805","20,825","24,963",17,"43,551",4.92%
Alameda,Berkeley,1/1/1992,"102,616","45,853","20,875","24,956",22,"43,638",4.83%
Alameda,Berkeley,1/1/1993,"101,980","46,004","20,990","24,988",26,"43,824",4.74%
Alameda,Berkeley,1/1/1994,"101,252","46,110","21,110","24,969",31,"43,966",4.65%
Alameda,Berkeley,1/1/1995,"100,943","46,189","21,221","24,933",35,"44,083",4.56%
Alameda,Berkeley,1/1/1996,"100,148","46,293","21,338","24,915",40,"44,224",4.47%
Alameda,Berkeley,1/1/1997,"100,904","46,376","21,460","24,872",44,"44,344",4.38%
Alameda,Berkeley,1/1/1998,"101,893","46,448","21,582","24,817",49,"44,454",4.29%
Alameda,Berkeley,1/1/1999,"102,268","46,729","21,703","24,973",53,"44,764",4.21%
Alameda,Berkeley,1/1/2000,"102,540","46,853","21,822","24,973",58,"44,924",4.12%
Alameda,Dublin,4/1/1990,"23,229","6,992","5,651","1,338",3,"6,802",2.72%
Alameda,Dublin,1/1/1991,"23,099","7,104","5,709","1,392",3,"6,890",3.01%
Alameda,Dublin,1/1/1992,"24,384","7,574","5,759","1,813",2,"7,318",3.38%
Alameda,Dublin,1/1/1993,"24,493","7,764","5,809","1,953",2,"7,475",3.72%
Alameda,Dublin,1/1/1994,"24,501","7,826","5,903","1,921",2,"7,509",4.05%
Alameda,Dublin,1/1/1995,"24,277","7,859","5,948","1,882",29,"7,513",4.40%
Alameda,Dublin,1/1/1996,"23,829","7,901","6,030","1,842",29,"7,526",4.75%
Alameda,Dublin,1/1/1997,"23,928","7,977","6,147","1,802",28,"7,572",5.08%
Alameda,Dublin,1/1/1998,"24,506","8,212","6,413","1,771",28,"7,774",5.33%
Alameda,Dublin,1/1/1999,"25,045","8,403","6,499","1,876",28,"7,927",5.66%
Alameda,Dublin,1/1/2000,"28,540","9,637","6,873","2,737",27,"9,104",5.53%
Alameda,Emeryville,4/1/1990,"5,740","3,640",489,"3,147",4,"3,227",11.35%
Alameda,Emeryville,1/1/1991,"5,815","3,635",465,"3,164",6,"3,237",10.95%
Alameda,Emeryville,1/1/1992,"5,917","3,618",422,"3,186",10,"3,240",10.45%
Alameda,Emeryville,1/1/1993,"6,007","3,661",381,"3,267",13,"3,297",9.94%
Alameda,Emeryville,1/1/1994,"6,190","3,762",459,"3,287",16,"3,405",9.49%
Alameda,Emeryville,1/1/1995,"6,157","3,966",641,"3,305",20,"3,605",9.10%
Alameda,Emeryville,1/1/1996,"6,147","3,972",599,"3,350",23,"3,628",8.66%
Alameda,Emeryville,1/1/1997,"6,196","3,958",558,"3,374",26,"3,635",8.16%
Alameda,Emeryville,1/1/1998,"6,632","4,170",635,"3,505",30,"3,841",7.89%
Alameda,Emeryville,1/1/1999,"6,824","4,271",593,"3,645",33,"3,949",7.54%
Alameda,Emeryville,1/1/2000,"6,836","4,258",552,"3,670",36,"3,955",7.12%
Alameda,Fremont,4/1/1990,"173,339","62,400","44,324","17,293",783,"60,198",3.53%
Alameda,Fremont,1/1/1991,"173,749","62,882","44,758","17,343",781,"60,756",3.38%
Alameda,Fremont,1/1/1992,"175,976","63,257","45,096","17,383",778,"61,241",3.19%
Alameda,Fremont,1/1/1993,"179,760","63,809","45,324","17,709",776,"61,897",3.00%
Alameda,Fremont,1/1/1994,"180,500","63,987","45,515","17,699",773,"62,192",2.81%
Alameda,Fremont,1/1/1995,"181,819","64,377","45,864","17,743",770,"62,692",2.62%
Alameda,Fremont,1/1/1996,"183,838","65,249","46,283","18,199",767,"63,657",2.44%
Alameda,Fremont,1/1/1997,"187,891","65,932","46,698","18,469",765,"64,440",2.26%
Alameda,Fremont,1/1/1998,"193,557","66,885","47,427","18,696",762,"65,482",2.10%
Alameda,Fremont,1/1/1999,"197,708","68,076","47,964","19,353",759,"66,755",1.94%
Alameda,Fremont,1/1/2000,"202,337","69,291","48,612","19,922",757,"68,051",1.79%
Alameda,Hayward,4/1/1990,"111,343","42,168","23,564","16,321","2,283","40,071",4.97%
Alameda,Hayward,1/1/1991,"116,033","43,224","24,051","16,887","2,286","41,163",4.77%
Alameda,Hayward,1/1/1992,"119,862","43,744","24,341","17,115","2,288","41,772",4.51%
Alameda,Hayward,1/1/1993,"123,002","43,894","24,464","17,140","2,290","42,031",4.24%
Alameda,Hayward,1/1/1994,"124,768","44,228","24,762","17,175","2,291","42,467",3.98%
Alameda,Hayward,1/1/1995,"126,020","44,455","24,932","17,231","2,292","42,798",3.73%
Alameda,Hayward,1/1/1996,"127,306","44,670","25,126","17,251","2,293","43,120",3.47%
Alameda,Hayward,1/1/1997,"130,247","44,876","25,320","17,261","2,295","43,431",3.22%
Alameda,Hayward,1/1/1998,"133,533","45,017","25,452","17,269","2,296","43,681",2.97%
Alameda,Hayward,1/1/1999,"135,687","45,265","25,691","17,277","2,297","44,034",2.72%
Alameda,Hayward,1/1/2000,"139,124","45,841","26,074","17,468","2,299","44,698",2.49%
Alameda,Livermore,4/1/1990,"56,741","21,489","16,806","4,204",479,"20,643",3.94%
Alameda,Livermore,1/1/1991,"57,678","22,207","17,212","4,513",482,"21,375",3.75%
Alameda,Livermore,1/1/1992,"59,027","22,440","17,469","4,495",476,"21,654",3.50%
Alameda,Livermore,1/1/1993,"60,811","22,864","17,860","4,533",471,"22,118",3.26%
Alameda,Livermore,1/1/1994,"61,680","23,215","18,257","4,493",465,"22,511",3.03%
Alameda,Livermore,1/1/1995,"63,058","23,615","18,653","4,502",460,"22,952",2.81%
Alameda,Livermore,1/1/1996,"64,370","24,183","19,201","4,528",454,"23,553",2.61%
Alameda,Livermore,1/1/1997,"66,697","24,774","19,795","4,530",449,"24,177",2.41%
Alameda,Livermore,1/1/1998,"69,538","25,454","20,523","4,488",443,"24,886",2.23%
Alameda,Livermore,1/1/1999,"72,112","26,314","21,277","4,599",438,"25,768",2.07%
Alameda,Livermore,1/1/2000,"72,922","26,492","21,443","4,617",432,"25,995",1.88%
Alameda,Newark,4/1/1990,"37,861","12,284","9,867","2,402",15,"12,015",2.19%
Alameda,Newark,1/1/1991,"37,715","12,354","9,907","2,429",18,"12,093",2.11%
Alameda,Newark,1/1/1992,"38,220","12,398","9,923","2,452",23,"12,149",2.01%
Alameda,Newark,1/1/1993,"38,413","12,458","9,957","2,474",27,"12,221",1.90%
Alameda,Newark,1/1/1994,"38,787","12,525","9,997","2,496",32,"12,299",1.80%
Alameda,Newark,1/1/1995,"39,213","12,635","10,088","2,511",36,"12,420",1.70%
Alameda,Newark,1/1/1996,"39,348","12,701","10,135","2,526",40,"12,498",1.60%
Alameda,Newark,1/1/1997,"39,838","12,704","10,118","2,541",45,"12,514",1.50%
Alameda,Newark,1/1/1998,"40,471","12,702","10,097","2,556",49,"12,525",1.39%
Alameda,Newark,1/1/1999,"41,889","13,089","10,146","2,889",54,"12,916",1.32%
Alameda,Newark,1/1/2000,"42,250","13,123","10,161","2,904",58,"12,962",1.23%
Alameda,Oakland,4/1/1990,"372,242","154,737","74,864","79,673",200,"144,521",6.60%
Alameda,Oakland,1/1/1991,"375,382","155,436","75,289","79,927",220,"145,463",6.42%
Alameda,Oakland,1/1/1992,"376,131","153,107","73,440","79,421",246,"143,666",6.17%
Alameda,Oakland,1/1/1993,"377,678","153,589","73,928","79,390",271,"144,502",5.92%
Alameda,Oakland,1/1/1994,"378,644","154,250","74,422","79,531",297,"145,503",5.67%
Alameda,Oakland,1/1/1995,"378,748","154,615","74,862","79,431",322,"146,207",5.44%
Alameda,Oakland,1/1/1996,"380,014","155,462","75,515","79,599",348,"147,382",5.20%
Alameda,Oakland,1/1/1997,"384,623","155,834","76,126","79,335",373,"147,985",5.04%
Alameda,Oakland,1/1/1998,"391,893","156,291","76,660","79,232",399,"148,795",4.80%
Alameda,Oakland,1/1/1999,"394,882","156,934","77,260","79,250",424,"149,775",4.56%
Alameda,Oakland,1/1/2000,"398,247","157,401","77,898","79,053",450,"150,594",4.32%
Alameda,Piedmont,4/1/1990,"10,602","3,848","3,752",95,1,"3,755",2.42%
Alameda,Piedmont,1/1/1991,"10,589","3,850","3,755",93,2,"3,760",2.34%
Alameda,Piedmont,1/1/1992,"10,676","3,852","3,760",90,2,"3,765",2.26%
Alameda,Piedmont,1/1/1993,"10,734","3,855","3,764",88,3,"3,773",2.13%
Alameda,Piedmont,1/1/1994,"10,701","3,855","3,766",85,4,"3,777",2.02%
Alameda,Piedmont,1/1/1995,"10,767","3,859","3,773",82,4,"3,784",1.94%
Alameda,Piedmont,1/1/1996,"10,708","3,861","3,776",80,5,"3,790",1.84%
Alameda,Piedmont,1/1/1997,"10,791","3,860","3,777",77,6,"3,793",1.74%
Alameda,Piedmont,1/1/1998,"10,922","3,861","3,780",75,6,"3,797",1.66%
Alameda,Piedmont,1/1/1999,"10,918","3,860","3,781",72,7,"3,800",1.55%
Alameda,Piedmont,1/1/2000,"10,931","3,859","3,782",69,8,"3,803",1.45%
Alameda,Pleasanton,4/1/1990,"50,570","19,361","14,520","4,419",422,"18,489",4.50%
Alameda,Pleasanton,1/1/1991,"51,226","19,891","14,741","4,725",425,"19,027",4.34%
Alameda,Pleasanton,1/1/1992,"51,977","20,145","14,977","4,740",428,"19,311",4.14%
Alameda,Pleasanton,1/1/1993,"53,048","20,431","15,178","4,822",431,"19,628",3.93%
Alameda,Pleasanton,1/1/1994,"53,871","20,850","15,566","4,849",435,"20,071",3.74%
Alameda,Pleasanton,1/1/1995,"55,158","21,287","15,964","4,885",438,"20,530",3.56%
Alameda,Pleasanton,1/1/1996,"56,013","21,727","16,338","4,947",442,"20,991",3.39%
Alameda,Pleasanton,1/1/1997,"57,855","22,238","16,824","4,969",445,"21,521",3.22%
Alameda,Pleasanton,1/1/1998,"60,315","22,873","17,402","5,023",448,"22,170",3.07%
Alameda,Pleasanton,1/1/1999,"61,678","23,358","17,869","5,037",452,"22,675",2.92%
Alameda,Pleasanton,1/1/2000,"63,317","23,898","18,267","5,176",455,"23,234",2.78%
Alameda,San Leandro,4/1/1990,"68,223","30,189","19,572","9,750",867,"29,128",3.51%
Alameda,San Leandro,1/1/1991,"68,467","30,193","19,594","9,729",870,"29,162",3.41%
Alameda,San Leandro,1/1/1992,"69,690","30,225","19,627","9,725",873,"29,234",3.28%
Alameda,San Leandro,1/1/1993,"71,182","30,230","19,657","9,696",877,"29,281",3.14%
Alameda,San Leandro,1/1/1994,"71,683","30,275","19,714","9,680",881,"29,366",3.00%
Alameda,San Leandro,1/1/1995,"72,238","30,313","19,780","9,648",885,"29,443",2.87%
Alameda,San Leandro,1/1/1996,"72,579","30,363","19,859","9,616",888,"29,531",2.74%
Alameda,San Leandro,1/1/1997,"74,015","30,454","19,963","9,599",892,"29,660",2.61%
Alameda,San Leandro,1/1/1998,"75,855","30,597","20,134","9,567",896,"29,839",2.48%
Alameda,San Leandro,1/1/1999,"77,085","30,837","20,403","9,535",899,"30,112",2.35%
Alameda,San Leandro,1/1/2000,"78,983","31,281","20,875","9,503",903,"30,581",2.24%
Alameda,Union City,4/1/1990,"53,762","16,259","11,736","3,590",933,"15,701",3.43%
Alameda,Union City,1/1/1991,"54,389","16,349","11,830","3,587",932,"15,819",3.24%
Alameda,Union City,1/1/1992,"55,200","16,446","11,947","3,569",930,"15,954",2.99%
Alameda,Union City,1/1/1993,"55,932","16,512","12,035","3,548",929,"16,059",2.74%
Alameda,Union City,1/1/1994,"56,653","16,745","12,291","3,527",927,"16,326",2.50%
Alameda,Union City,1/1/1995,"57,150","16,913","12,481","3,506",926,"16,529",2.27%
Alameda,Union City,1/1/1996,"57,626","17,053","12,644","3,484",925,"16,706",2.03%
Alameda,Union City,1/1/1997,"59,005","17,224","12,839","3,462",923,"16,912",1.81%
Alameda,Union City,1/1/1998,"61,633","17,684","13,277","3,485",922,"17,397",1.62%
Alameda,Union City,1/1/1999,"64,409","18,381","13,844","3,612",925,"18,112",1.46%
Alameda,Union City,1/1/2000,"66,412","18,814","14,254","3,637",923,"18,570",1.30%
Alameda,Incorporated,4/1/1990,"1,156,682","457,090","264,864","186,201","6,025","434,273",4.99%
Alameda,Incorporated,1/1/1991,"1,167,090","461,201","267,280","187,837","6,084","438,930",4.83%
Alameda,Incorporated,1/1/1992,"1,182,948","461,264","266,959","188,156","6,149","439,966",4.62%
Alameda,Incorporated,1/1/1993,"1,196,924","463,710","268,804","188,691","6,215","443,153",4.43%
Alameda,Incorporated,1/1/1994,"1,204,424","466,283","271,340","188,661","6,282","446,631",4.21%
Alameda,Incorporated,1/1/1995,"1,209,152","468,722","273,893","188,456","6,373","449,775",4.04%
Alameda,Incorporated,1/1/1996,"1,215,333","472,056","276,655","188,962","6,439","453,898",3.85%
Alameda,Incorporated,1/1/1997,"1,233,574","474,897","279,646","188,746","6,505","457,464",3.67%
Alameda,Incorporated,1/1/1998,"1,258,446","479,014","283,676","188,768","6,570","461,520",3.65%
Alameda,Incorporated,1/1/1999,"1,278,569","484,406","287,530","190,236","6,640","467,588",3.47%
Alameda,Incorporated,1/1/2000,"1,301,259","489,624","291,238","191,681","6,705","473,670",3.26%
Alameda,Balance of County,4/1/1990,"120,020","47,019","34,775","11,365",879,"45,245",3.77%
Alameda,Balance of County,1/1/1991,"117,692","46,509","34,525","11,107",877,"44,815",3.64%
Alameda,Balance of County,1/1/1992,"119,761","46,672","34,610","11,183",879,"45,053",3.47%
Alameda,Balance of County,1/1/1993,"121,203","46,878","34,783","11,211",884,"45,332",3.30%
Alameda,Balance of County,1/1/1994,"123,102","47,354","34,940","11,523",891,"45,872",3.13%
Alameda,Balance of County,1/1/1995,"123,879","47,532","35,140","11,495",897,"46,122",2.97%
Alameda,Balance of County,1/1/1996,"125,176","47,713","35,379","11,434",900,"46,378",2.80%
Alameda,Balance of County,1/1/1997,"127,756","48,051","35,724","11,421",906,"46,784",2.64%
Alameda,Balance of County,1/1/1998,"130,554","48,525","36,108","11,507",910,"47,321",2.48%
Alameda,Balance of County,1/1/1999,"133,746","49,155","36,738","11,504",913,"48,009",2.33%
Alameda,Balance of County,1/1/2000,"135,877","49,538","37,161","11,451",926,"48,458",2.18%
Alameda,County Total,4/1/1990,"1,276,702","504,109","299,639","197,566","6,904","479,518",4.88%
Alameda,County Total,1/1/1991,"1,284,782","507,710","301,805","198,944","6,961","483,745",4.72%
Alameda,County Total,1/1/1992,"1,302,709","507,936","301,569","199,339","7,028","485,019",4.51%
Alameda,County Total,1/1/1993,"1,318,127","510,588","303,587","199,902","7,099","488,485",4.33%
Alameda,County Total,1/1/1994,"1,327,526","513,637","306,280","200,184","7,173","492,503",4.11%
Alameda,County Total,1/1/1995,"1,333,031","516,254","309,033","199,951","7,270","495,897",3.94%
Alameda,County Total,1/1/1996,"1,340,509","519,769","312,034","200,396","7,339","500,276",3.75%
Alameda,County Total,1/1/1997,"1,361,330","522,948","315,370","200,167","7,411","504,248",3.58%
Alameda,County Total,1/1/1998,"1,389,000","527,539","319,784","200,275","7,480","508,841",3.54%
Alameda,County Total,1/1/1999,"1,412,315","533,561","324,268","201,740","7,553","515,597",3.37%
Alameda,County Total,1/1/2000,"1,437,136","539,162","328,399","203,132","7,631","522,128",3.16%
Alpine,County Total,4/1/1990,"1,113","1,319",878,387,54,450,65.88%
Alpine,County Total,1/1/1991,"1,107","1,328",881,393,54,450,66.11%
Alpine,County Total,1/1/1992,"1,126","1,344",884,403,57,453,66.29%
Alpine,County Total,1/1/1993,"1,131","1,353",883,412,58,452,66.59%
Alpine,County Total,1/1/1994,"1,125","1,356",888,410,58,450,66.81%
Alpine,County Total,1/1/1995,"1,145","1,367",889,419,59,450,67.08%
Alpine,County Total,1/1/1996,"1,192","1,376",888,429,59,449,67.37%
Alpine,County Total,1/1/1997,"1,225","1,415",897,458,60,459,67.56%
Alpine,County Total,1/1/1998,"1,215","1,412",884,467,61,455,67.78%
Alpine,County Total,1/1/1999,"1,182","1,444",888,495,61,463,67.94%
Alpine,County Total,1/1/2000,"1,196","1,506",883,561,62,481,68.06%
Amador,Amador,4/1/1990,196,87,74,11,2,79,9.20%
Amador,Amador,1/1/1991,202,88,75,11,2,80,9.09%
Amador,Amador,1/1/1992,201,87,75,10,2,80,8.05%
Amador,Amador,1/1/1993,198,87,77,9,1,79,9.20%
Amador,Amador,1/1/1994,199,88,79,8,1,80,9.09%
Amador,Amador,1/1/1995,197,88,79,8,1,81,7.95%
Amador,Amador,1/1/1996,193,88,80,7,1,81,7.95%
Amador,Amador,1/1/1997,194,88,80,7,1,82,6.82%
Amador,Amador,1/1/1998,193,88,83,5,0,81,7.95%
Amador,Amador,1/1/1999,190,88,83,5,0,82,6.82%
Amador,Amador,1/1/2000,195,90,86,4,0,84,6.67%
Amador,Ione,4/1/1990,"6,516",910,716,136,58,856,5.93%
Amador,Ione,1/1/1991,"7,127",952,741,154,57,895,5.99%
Amador,Ione,1/1/1992,"7,102","1,028",769,171,88,967,5.93%
Amador,Ione,1/1/1993,"7,185","1,052",796,169,87,988,6.08%
Amador,Ione,1/1/1994,"7,166","1,065",813,166,86,"1,000",6.10%
Amador,Ione,1/1/1995,"7,123","1,079",830,164,85,"1,012",6.21%
Amador,Ione,1/1/1996,"7,226","1,079",834,161,84,"1,012",6.21%
Amador,Ione,1/1/1997,"7,283","1,086",845,159,82,"1,018",6.26%
Amador,Ione,1/1/1998,"7,048","1,097",860,156,81,"1,028",6.29%
Amador,Ione,1/1/1999,"7,248","1,110",876,154,80,"1,040",6.31%
Amador,Ione,1/1/2000,"7,151","1,143",914,151,78,"1,070",6.39%
Amador,Jackson,4/1/1990,"3,545","1,618",966,437,215,"1,508",6.80%
Amador,Jackson,1/1/1991,"3,605","1,651","1,002",434,215,"1,540",6.72%
Amador,Jackson,1/1/1992,"3,724","1,692","1,049",429,214,"1,579",6.68%
Amador,Jackson,1/1/1993,"3,787","1,740","1,099",427,214,"1,625",6.61%
Amador,Jackson,1/1/1994,"3,863","1,762","1,126",422,214,"1,648",6.47%
Amador,Jackson,1/1/1995,"3,840","1,789","1,157",418,214,"1,675",6.37%
Amador,Jackson,1/1/1996,"3,853","1,803","1,176",414,213,"1,688",6.38%
Amador,Jackson,1/1/1997,"3,887","1,811","1,188",410,213,"1,697",6.29%
Amador,Jackson,1/1/1998,"3,935","1,828","1,210",405,213,"1,714",6.24%
Amador,Jackson,1/1/1999,"3,918","1,840","1,227",401,212,"1,726",6.20%
Amador,Jackson,1/1/2000,"3,983","1,856","1,248",396,212,"1,743",6.09%
Amador,Plymouth,4/1/1990,811,359,222,41,96,328,8.64%
Amador,Plymouth,1/1/1991,827,369,230,42,97,336,8.94%
Amador,Plymouth,1/1/1992,855,381,239,43,99,343,9.97%
Amador,Plymouth,1/1/1993,864,389,246,43,100,348,10.54%
Amador,Plymouth,1/1/1994,890,397,251,44,102,352,11.34%
Amador,Plymouth,1/1/1995,885,405,257,45,103,358,11.60%
Amador,Plymouth,1/1/1996,899,415,264,46,105,364,12.29%
Amador,Plymouth,1/1/1997,918,423,270,47,106,369,12.77%
Amador,Plymouth,1/1/1998,935,432,276,48,108,374,13.43%
Amador,Plymouth,1/1/1999,943,441,282,49,110,380,13.83%
Amador,Plymouth,1/1/2000,976,455,290,50,115,391,14.07%
Amador,Sutter Creek,4/1/1990,"1,835",952,672,202,78,842,11.55%
Amador,Sutter Creek,1/1/1991,"1,877",982,690,215,77,872,11.20%
Amador,Sutter Creek,1/1/1992,"1,927",996,710,210,76,889,10.74%
Amador,Sutter Creek,1/1/1993,"2,001","1,017",734,207,76,912,10.32%
Amador,Sutter Creek,1/1/1994,"2,058","1,031",750,206,75,929,9.89%
Amador,Sutter Creek,1/1/1995,"2,096","1,043",768,201,74,944,9.49%
Amador,Sutter Creek,1/1/1996,"2,113","1,048",779,196,73,953,9.06%
Amador,Sutter Creek,1/1/1997,"2,165","1,061",794,195,72,970,8.58%
Amador,Sutter Creek,1/1/1998,"2,213","1,075",808,196,71,987,8.19%
Amador,Sutter Creek,1/1/1999,"2,215","1,080",818,191,71,997,7.69%
Amador,Sutter Creek,1/1/2000,"2,284","1,098",839,188,71,"1,017",7.38%
Amador,Incorporated,4/1/1990,"12,903","3,926","2,650",827,449,"3,613",7.97%
Amador,Incorporated,1/1/1991,"13,638","4,042","2,738",856,448,"3,723",7.89%
Amador,Incorporated,1/1/1992,"13,809","4,184","2,842",863,479,"3,858",7.79%
Amador,Incorporated,1/1/1993,"14,035","4,285","2,952",855,478,"3,952",7.77%
Amador,Incorporated,1/1/1994,"14,176","4,343","3,019",846,478,"4,009",7.69%
Amador,Incorporated,1/1/1995,"14,141","4,404","3,091",836,477,"4,070",7.58%
Amador,Incorporated,1/1/1996,"14,284","4,433","3,133",824,476,"4,098",7.56%
Amador,Incorporated,1/1/1997,"14,447","4,469","3,177",818,474,"4,136",7.45%
Amador,Incorporated,1/1/1998,"14,324","4,520","3,237",810,473,"4,184",7.43%
Amador,Incorporated,1/1/1999,"14,514","4,559","3,286",800,473,"4,225",7.33%
Amador,Incorporated,1/1/2000,"14,589","4,642","3,377",789,476,"4,305",7.26%
Amador,Balance of County,4/1/1990,"17,136","8,888","7,742",203,943,"6,905",22.31%
Amador,Balance of County,1/1/1991,"17,411","9,042","7,894",196,952,"7,053",22.00%
Amador,Balance of County,1/1/1992,"18,099","9,304","8,152",184,968,"7,294",21.60%
Amador,Balance of County,1/1/1993,"18,500","9,543","8,389",172,982,"7,518",21.22%
Amador,Balance of County,1/1/1994,"18,868","9,694","8,532",164,998,"7,672",20.86%
Amador,Balance of County,1/1/1995,"19,152","9,814","8,653",151,"1,010","7,803",20.49%
Amador,Balance of County,1/1/1996,"19,319","9,927","8,765",143,"1,019","7,929",20.13%
Amador,Balance of County,1/1/1997,"19,702","10,045","8,882",131,"1,032","8,058",19.78%
Amador,Balance of County,1/1/1998,"19,971","10,130","8,974",123,"1,033","8,163",19.42%
Amador,Balance of County,1/1/1999,"19,919","10,210","9,063",125,"1,022","8,262",19.08%
Amador,Balance of County,1/1/2000,"20,401","10,322","9,186",124,"1,012","8,386",18.76%
Amador,County Total,4/1/1990,"30,039","12,814","10,392","1,030","1,392","10,518",17.92%
Amador,County Total,1/1/1991,"31,049","13,084","10,632","1,052","1,400","10,776",17.64%
Amador,County Total,1/1/1992,"31,908","13,488","10,994","1,047","1,447","11,152",17.32%
Amador,County Total,1/1/1993,"32,535","13,828","11,341","1,027","1,460","11,470",17.05%
Amador,County Total,1/1/1994,"33,044","14,037","11,551","1,010","1,476","11,681",16.78%
Amador,County Total,1/1/1995,"33,293","14,218","11,744",987,"1,487","11,873",16.49%
Amador,County Total,1/1/1996,"33,603","14,360","11,898",967,"1,495","12,027",16.25%
Amador,County Total,1/1/1997,"34,149","14,514","12,059",949,"1,506","12,194",15.98%
Amador,County Total,1/1/1998,"34,295","14,650","12,211",933,"1,506","12,347",15.72%
Amador,County Total,1/1/1999,"34,433","14,769","12,349",925,"1,495","12,487",15.45%
Amador,County Total,1/1/2000,"34,990","14,964","12,563",913,"1,488","12,691",15.19%
Butte,Biggs,4/1/1990,"1,581",548,453,48,47,521,4.93%
Butte,Biggs,1/1/1991,"1,640",566,472,47,47,537,5.12%
